"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Quản lý rủi ro bao gồm những hoạt động nào?","Chỉ xác định các rủi ro có thể xảy ra","Chỉ đánh giá tổn thất hệ thống","Chỉ lựa chọn giải pháp tối ưu","Xác định rủi ro, đánh giá tổn thất, phân tích mối đe dọa, lựa chọn giải pháp","D"
"Các mục tiêu chung của an toàn bảo mật thông tin (CIA) là gì?","Bí mật, toàn vẹn, sẵn sàng","Bí mật, xác thực, không từ chối","Sẵn sàng, xác thực, toàn vẹn","Toàn vẹn, tin cậy, sẵn sàng","A"
"An toàn mức vật lý trong tam giác an toàn thông tin nhằm mục đích gì?","Kiểm soát truy cập mạng","Bảo vệ tài sản và thông tin, hạn chế trở thành mục tiêu tấn công","Cung cấp các chính sách quản lý","Mã hóa dữ liệu đường truyền","B"
"An toàn mức tác nghiệp (Operational) liên quan đến công việc gì?","Phục hồi dữ liệu bị mất","Bảo vệ tài sản vật lý","Kiểm soát truy cập, chứng thực, an toàn topo mạng","Cung cấp quy tắc thiết lập môi trường","C"
"An toàn mức quản lý và chính sách nhằm cung cấp gì?","Cung cấp hướng dẫn, quy tắc, quy trình thiết lập môi trường thông tin an toàn","Bảo vệ chống kẻ trộm vật lý","Thiết lập cấu trúc liên kết mạng","Mã hóa khóa công khai","A"
"Phân loại kẻ xâm nhập hệ thống bao gồm những loại nào?","Hacker và Cracker","Kẻ giả danh, kẻ lạm quyền, người sử dụng giấu mặt","Virus và Trojan","Người dùng nội bộ và người ngoài","B"
"Các kỹ thuật xâm phạm của kẻ xâm nhập thường bắt đầu bằng bước nào?","Leo thang quyền","Truy cập ban đầu","Lần vết khôi phục","Tìm mục tiêu và thu thập thông tin","D"
"Kẻ xâm nhập thường sử dụng kỹ thuật gì phổ biến nhất để giành quyền truy cập ban đầu?","Làm tràn bộ đệm","Tấn công từ chối dịch vụ","Đoán mật khẩu","Mã hóa dữ liệu","C"
"Phát hiện xâm nhập có những cách tiếp cận nào?","Chỉ kiểm tra bản ghi","Phát hiện thống kê bất thường và phân tích bản ghi","Chỉ dựa trên quy tắc","Kiểm tra bản ghi, thống kê bất thường, phân tích kiểm tra và dựa trên quy tắc","D"
"Virus máy tính có đặc điểm gì?","Là phần mềm độc lập, không cần lây nhiễm","Là đoạn mã lệnh tự sinh lặp đính kèm với code khác","Là một phần cứng được cài vào hệ thống","Là một lỗ hổng mạng","B"
"Các thao tác cơ bản của virus bao gồm gì?","Nằm im, lan truyền, kích hoạt, thực hiện bộ tải","Xâm nhập, phá hoại, ẩn mình","Đánh cắp, mã hóa, đòi tiền chuộc","Nghe trộm, sửa đổi, xóa dữ liệu","A"
"Sâu (worm) khác virus ở điểm nào?","Không thể tự sinh lặp","Cần phải đính kèm vào file thực thi","Sinh lặp nhưng không có tác động, thường lan truyền trên mạng","Chỉ lây nhiễm qua USB","C"
"Cửa sau hay cửa sập (trapdoor) có đặc điểm gì?","Điểm vào chương trình bí mật, bỏ qua các thủ tục an toàn thông thường","Là một loại virus lây qua email","Là phần mềm diệt virus bị lỗi","Là thiết bị phần cứng ngăn chặn hacker","A"
"Bom logic là loại phần mềm có hại hoạt động như thế nào?","Lây lan qua mạng internet liên tục","Nhúng trong chương trình hợp pháp, kích hoạt khi gặp điều kiện xác định","Thay đổi giao diện người dùng","Chạy ngầm để đánh cắp mật khẩu","B"
"Ngựa thành Tơ-roa (Trojan) thường được ngụy trang dưới dạng nào?","Mã độc tống tiền","Chương trình với tác động phụ dấu kín (như trò chơi, phần mềm nâng cấp)","Một đoạn mã tự nhân bản","Một gói tin mạng bất thường","B"
"Chương trình Zombie thường được sử dụng để làm gì?","Xóa dữ liệu ổ cứng","Mã hóa file văn bản","Khởi động tấn công từ chối dịch vụ phân tán (DDoS)","Tạo cửa sau trên máy chủ","C"
"Tấn công từ chối dịch vụ từ xa (DDoS) nhằm mục đích gì?","Đánh cắp thông tin thẻ tín dụng","Làm cho hệ thống trở nên không sẵn sàng do làm tràn bởi sự vận chuyển vô ích","Sửa đổi quyền truy cập của người dùng","Nghe trộm thông tin đường truyền","B"
"Lỗ hổng tràn bộ đệm thường sinh ra do nguyên nhân nào?","Đường truyền mạng chậm","Sử dụng mã hóa yếu","Lỗi lập trình cho quá nhiều dữ liệu lưu trữ hơn khả năng cho phép","Máy tính bị nhiễm virus","C"
"Tường lửa (Firewall) được định nghĩa là gì?","Thiết bị mã hóa dữ liệu","Điểm 'cổ chai' để kiểm soát và theo dõi an toàn trên mạng","Phần mềm diệt virus","Hệ thống phát hiện xâm nhập","B"
"Hạn chế của tường lửa là gì?","Không chống được mã độc","Không bảo vệ được tấn công đi vòng qua nó và mối đe dọa từ bên trong","Làm chậm tốc độ mạng quá nhiều","Không lọc được địa chỉ IP","B"
"Bức tường lửa lọc gói (packet-filtering router) hoạt động dựa trên nguyên tắc nào?","Kiểm tra nội dung chi tiết của từng thông điệp","Kiểm tra mỗi gói IP và cho phép/từ chối tùy theo quy tắc xác định","Mã hóa toàn bộ gói tin","Chặn mọi kết nối từ bên ngoài","B"
"Cổng giao tiếp ở tầng ứng dụng (Application-level gateway) trong tường lửa còn được gọi là gì?","Router","Switch","Proxy","Hub","C"
"Cổng giao tiếp mức mạch vòng (Circuit-level gateway) có đặc điểm gì?","Kiểm tra nội dung của mọi gói tin","Chuyển tiếp kết nối TCP, thông thường không kiểm tra nội dung","Chỉ cho phép giao thức HTTP đi qua","Là phần mềm chạy trên máy trạm","B"
"Trong ma trận kiểm soát truy cập, chủ thể (subject) đại diện cho điều gì?","Thực thể chủ động (người sử dụng, quá trình)","Thực thể bị động (file hoặc nguồn)","Quyền đọc/ghi","Thuật toán mã hóa","A"
"Trong ma trận kiểm soát truy cập, đối tượng (object) là gì?","Thực thể chủ động","Người dùng hệ thống","Thực thể bị động (file hoặc nguồn)","Các tiến trình đang chạy","C"
"IPSec là cơ chế cung cấp các dịch vụ gì?","Diệt virus và tường lửa","Định tuyến và chuyển mạch gói","Xác thực, bảo mật và quản trị khóa","Quản lý tên miền","C"
"Kiến trúc an toàn IP (IPSec) bao gồm 2 mở rộng an toàn nào?","TCP và UDP","IPv4 và IPv6","HTTP và FTP","AH (Phần đầu xác thực) và ESP (Tải trọng an toàn đóng gói)","D"
"Chế độ vận tải (transport mode) của ESP trong IPSec có đặc điểm gì?","Mã hóa toàn bộ gói tin bao gồm cả phần đầu","Dữ liệu được bảo vệ nhưng phần đầu để rõ để biết địa chỉ đích","Chỉ dùng cho mạng LAN","Không có tính năng xác thực","B"
"Chế độ ống (tunnel mode) của ESP thường được sử dụng tốt nhất cho loại mạng nào?","Mạng nội bộ (LAN)","Mạng không dây (WLAN)","Mạng riêng ảo (VPN)","Mạng diện rộng (WAN) thông thường","C"
"Giao thức SSL (Secure Socket Layer) ban đầu được phát triển bởi tổ chức nào?","Microsoft","Google","Netscape","IBM","C"
"Dịch vụ thủ tục bản ghi SSL (SSL Record Protocol) có nhiệm vụ gì?","Thỏa thuận khóa mật","Đảm bảo tính toàn vẹn của bản tin và cung cấp bảo mật","Gửi cảnh báo lỗi","Thiết lập kết nối TCP","B"
"Thủ tục bắt tay SSL (SSL Handshake Protocol) cho phép máy chủ và máy trạm làm gì?","Đóng kết nối ngay lập tức","Nén dữ liệu văn bản","Xác thực nhau, thỏa thuận thuật toán mã hóa và trao đổi khóa","Kiểm tra lỗi đường truyền","C"
"Chuẩn thanh toán điện tử an toàn (SET) do các tổ chức nào phát triển?","Paypal và Stripe","Master và Visa Card","Napas và VNPay","JCB và American Express","B"
"Trong thanh toán điện tử an toàn (SET), chữ ký kép nhằm mục đích gì?","Tăng gấp đôi độ khó của việc giải mã","Liên kết thông tin đơn đặt (OI) cho người bán và thông tin trả tiền (PI) cho ngân hàng mà không tiết lộ chi tiết của nhau","Xác thực hai người mua khác nhau","Bảo vệ thông tin người bán khỏi ngân hàng","B"
"Giao thức PGP (Pretty Good Privacy) thường được dùng để bảo mật cho dịch vụ nào?","Lướt web (HTTP)","Thư điện tử (Email)","Chuyển file (FTP)","Điều khiển từ xa (Telnet)","B"
"Trong PGP, thao tác xác thực thường sử dụng thuật toán băm nào để sinh cốt bức điện 160 bit?","MD5","SHA-1","CRC32","RSA","B"
"Mật mã học (Cryptology) bao gồm 2 nhánh chính nào?","Mã hóa khối và mã hóa dòng","Khóa công khai và khóa bí mật","Mật mã (Cryptography) và Thám mã (Cryptanalysis)","Toán học và Tin học","C"
"Mật mã đối xứng (Symmetric Cipher) có đặc điểm sử dụng khóa như thế nào?","Mỗi người dùng có một cặp khóa","Cùng một khóa để mã hóa và giải mã","Chỉ có khóa công khai","Sử dụng ba khóa khác nhau","B"
"Mật mã bất đối xứng (Asymmetric Cipher) có đặc điểm gì về khóa?","Sử dụng cùng một khóa","Không cần sử dụng khóa","Sử dụng một cặp khóa gồm khóa công khai và khóa bí mật","Khóa thay đổi liên tục theo thời gian","C"
"Trong hệ mã hóa, quá trình giải mã (decryption) là gì?","Chuyển bản rõ thành bản mã","Tạo ra khóa bí mật","Chuyển bản mã thành bản rõ","Nén dữ liệu để truyền đi","C"
"Tấn công thám mã 'Chỉ dùng bản mã' có đặc điểm gì?","Biết cả bản rõ và bản mã","Kẻ tấn công có thể chọn bản rõ","Kẻ tấn công chọn bản mã để giải","Biết thuật toán và bản mã, dùng phương pháp thống kê để tìm bản rõ","D"
"Hệ mã Caesar là ví dụ tiêu biểu cho loại hệ mã cổ điển nào?","Hệ mã hoán vị","Hệ mã dòng","Hệ mã khối","Hệ mã thay thế","D"
"Hệ mã Rail Fence thực hiện mã hóa bằng cách nào?","Thay thế mỗi chữ cái bằng số","Dịch chuyển bảng chữ cái","Viết các chữ theo đường chéo (răng cưa) và đọc theo dòng","XOR bản rõ với một chuỗi ngẫu nhiên","C"
"Trong hệ mã hóa dòng hiện đại A5/1, đơn vị mã hóa cơ bản là bao nhiêu?","1 byte","1 bit","8 bit","64 bit","B"
"Hệ mã DES (Data Encryption Standard) thuộc loại hệ mã nào?","Mã hóa dòng","Mã hóa khối","Mã hóa bất đối xứng","Mã hóa hàm băm","B"
"Mã hóa khóa công khai (RSA) sử dụng mấy khóa cho mỗi người dùng?","1 khóa","2 khóa (công khai và riêng)","3 khóa","Nhiều khóa dùng một lần","B"
"Trong thuật toán RSA, số modulo N được tính từ hai số nguyên tố p và q như thế nào?","N = p + q","N = p - q","N = p / q","N = p * q","D"
"Hàm băm MD5 tạo ra giá trị băm (message digest) có độ dài cố định là bao nhiêu bit?","64 bit","128 bit","160 bit","256 bit","B"
"Hàm băm SHA-1 (Secure Hash Algorithm) tạo ra giá trị băm có độ dài bao nhiêu bit?","128 bit","160 bit","256 bit","512 bit","B"
