"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Câu 15: Thuật toán Tìm kiếm theo chiều sâu (DFS) quản lý danh sách L theo cơ chế của cấu trúc dữ liệu nào?","Hàng đợi (Queue)","Ngăn xếp (Stack)","Cây nhị phân (Binary Tree)","Đồ thị có hướng (Directed Graph)","B"
"Câu 16: Biến father(v) = u trong các thuật toán tìm kiếm mù có tác dụng gì?","Xóa trạng thái v khỏi danh sách","Đánh giá heuristic của u","Lưu trữ lại vết đường đi từ gốc tới đích","Đếm số lượng đỉnh đã duyệt","C"
"Câu 17: Khái niệm 'Quy vấn đề về các vấn đề con' được biểu diễn hình thức bằng công cụ nào?","Đồ thị Không hướng","Cây nhị phân","Đồ thị VÀ/HOẶC (AND/OR Graph)","Thuật toán Nhánh cận","C"
"Câu 18: Trên đồ thị VÀ/HOẶC, nếu bài toán a được quy về tập các bài toán con {b, c, d}, người ta thường biểu diễn nó thông qua việc thêm một đỉnh mới. Đỉnh đó gọi là gì?","Đỉnh OR","Đỉnh kết thúc","Đỉnh a1 (Đỉnh VÀ/AND)","Đỉnh Heuristic","C"
"Câu 19: Một đỉnh u trong đồ thị VÀ/HOẶC được đánh dấu là GIẢI ĐƯỢC (GĐ) khi nào?","Nếu u là đỉnh kết thúc","Nếu có một toán tử R sao cho tất cả các đỉnh kề u theo R đều giải được","Nếu u không có đỉnh kề","Cả A và B đều đúng","D"
"Câu 20: Nếu từ đỉnh u đi xuống các đỉnh kề nó theo mọi toán tử đều gặp các đỉnh kề KHÔNG GIẢI ĐƯỢC (KGĐ), thì đỉnh u sẽ bị đánh dấu là gì?","Giải được (GĐ)","Không giải được (KGĐ)","Chưa xác định","Đỉnh lá","B"
"Câu 21: Tìm kiếm trên đồ thị VÀ/HOẶC sử dụng kỹ thuật duyệt nào làm nền tảng cốt lõi?","Tìm kiếm theo chiều rộng (BFS)","Tìm kiếm theo độ sâu (DFS)","Tìm kiếm A*","Tìm kiếm Nhánh cận","B"
"Câu 22: Trong tìm kiếm Heuristic, 'hàm đánh giá' h(u) có ý nghĩa gì?","Đo lường chi phí đã đi từ gốc đến u","Đánh giá số lượng đỉnh kề của u","Đánh giá 'sự gần đích' của trạng thái u","Xác định u có phải là đỉnh VÀ hay không","C"
"Câu 23: Kỹ thuật 'Tìm kiếm tốt nhất - đầu tiên' (Best-First Search) là sự kết hợp của phương pháp nào với hàm đánh giá?","Tìm kiếm theo chiều sâu","Tìm kiếm theo chiều rộng","Tìm kiếm Nhánh cận","Đồ thị AND/OR","B"
"Câu 24: Trong thuật toán Best-First Search, danh sách L chứa các trạng thái chờ phát triển được tổ chức như thế nào?","Không sắp xếp (First In First Out)","Không sắp xếp (Last In First Out)","Sắp xếp theo thứ tự giảm dần của hàm đánh giá","Sắp xếp theo thứ tự tăng dần của hàm đánh giá","D"
"Câu 25: Thuật toán 'Tìm kiếm leo đồi' (Hill Climbing) là sự kết hợp của phương pháp nào với hàm đánh giá?","Tìm kiếm theo chiều rộng","Tìm kiếm theo chiều sâu","Tìm kiếm A*","Tìm kiếm VÀ/HOẶC","B"
"Câu 26: Trong Tìm kiếm leo đồi, danh sách L1 sau khi sắp xếp tăng dần theo hàm đánh giá sẽ được chèn vào đâu của danh sách L?","Cuối danh sách L","Đầu danh sách L","Xóa luôn L và thay bằng L1","Chèn đan xen vào L","B"
"Câu 27: Bài toán đường đi ngắn nhất định nghĩa hàm mục tiêu là gì?","Tối đa hóa số đỉnh đi qua","Tổng độ dài (giá) của đường đi từ trạng thái ban đầu tới đích là nhỏ nhất","Hàm heuristic h(u) đạt giá trị cao nhất","Không cần quan tâm chi phí, chỉ cần tới đích","B"
"Câu 28: Trong thuật toán tối ưu A*, hàm đánh giá f(u) được tính bằng công thức nào?","f(u) = g(u) * h(u)","f(u) = g(u) - h(u)","f(u) = g(u) + h(u)","f(u) = max(g(u), h(u))","C"
"Câu 29: Trong thuật toán A*, g(u) biểu thị giá trị gì?","Chi phí ước lượng từ u tới đích","Chi phí từ đích quay ngược lại u","Đánh giá độ dài đường đi ngắn nhất thực tế từ trạng thái ban đầu u0 tới u","Số lượng toán tử hiện có","C"
"Câu 30: Điều kiện để hàm heuristic h(u) được gọi là 'chấp nhận được' (admissible) là gì?","h(u) >= độ dài thực tế từ u tới đích","h(u) <= độ dài đường đi ngắn nhất thực tế từ u tới trạng thái đích","h(u) = g(u)","h(u) < 0","B"
"Câu 31: Thuật toán A* là sự mở rộng của thuật toán nào bằng cách thêm yếu tố chi phí thực tế g(u)?","Tìm kiếm theo chiều sâu (DFS)","Tìm kiếm leo đồi (Hill Climbing)","Tìm kiếm mù (Blind Search)","Tìm kiếm tốt nhất đầu tiên (Best-First Search)","D"
"Câu 32: Thuật toán Nhánh - Cận (Branch and Bound) là sự kết hợp của kỹ thuật nào với hàm đánh giá f(u)?","Tìm kiếm theo chiều sâu (hoặc Tìm kiếm leo đồi)","Tìm kiếm theo chiều rộng","Tìm kiếm Best-First","Tìm kiếm đồ thị VÀ/HOẶC","A"
"Câu 33: Trong thuật toán Nhánh - Cận, biến cost ban đầu được gán giá trị khởi tạo là bao nhiêu?","0","-1","+ vô cùng (Vô cùng lớn)","Tùy thuộc vào h(u)","C"
"Câu 34: Thuật toán Nhánh - Cận sẽ tiến hành 'cắt nhánh' (không phát triển đỉnh v nữa) trong trường hợp nào?","f(v) < cost","f(v) > cost","f(v) = 0","Danh sách L rỗng","B"
"Câu 35: Nếu đỉnh u là đỉnh kết thúc và g(u) <= cost, thuật toán Nhánh - Cận sẽ làm gì?","Cập nhật cost = g(u) và tiếp tục quá trình tìm kiếm nhánh khác để tối ưu hơn","Dừng ngay lập tức thuật toán","Cập nhật cost = f(u)","Xóa toàn bộ danh sách L","A"
"Câu 36: Đặc trưng của quá trình phát triển trạng thái trong Không gian trạng thái là gì?","Quá trình áp dụng các toán tử để sinh ra các trạng thái kề v từ trạng thái u","Tạo ra mảng 2 chiều chứa các giá trị heuristic","Gộp 2 đỉnh lại thành 1","Phân rã bài toán thành các logic mệnh đề","A"
"Câu 37: Độ phức tạp thuật toán của các bài toán TTNT thường rơi vào dạng hàm nào so với hàm đa thức của CNTT truyền thống?","Hàm Logarit","Hàm hằng","Hàm Mũ","Hàm tuyến tính","C"
"Câu 38: Bài toán sắp số n^2 - 1 (ví dụ: 8-puzzle) sử dụng tập các toán tử nào để chuyển đổi trạng thái?","Thêm, Xóa, Sửa, Cập nhật","Lên, Xuống, Trái, Phải (di chuyển ô trống)","Rót nước, Đổ nước","Chia đôi mảng","B"
"Câu 39: Đồ thị có hướng được định nghĩa là G = (V, E), trong đó E đại diện cho yếu tố nào?","Tập các trạng thái (Đỉnh)","Tập các toán tử/cung (Cạnh có hướng)","Hàm heuristic","Chi phí thực tế","B"
"Câu 40: Để chứng minh tính 'Không giải được' của một đỉnh trong đồ thị VÀ/HOẶC, thuật toán Solvable(u) sẽ duyệt qua tất cả các toán tử R của u. Khẳng định nào đúng?","Cần ít nhất 1 toán tử R có tất cả các đỉnh kề đều GĐ","Mọi toán tử R đều phải dẫn đến ít nhất một đỉnh kề KGĐ","Không cần duyệt, đánh dấu ngẫu nhiên","Mọi đỉnh kề của mọi toán tử R đều phải KGĐ","B"
"Câu 41: Thuật toán DFS sử dụng trong tìm kiếm mù có nhược điểm lớn nhất là gì?","Tốn quá nhiều bộ nhớ để lưu trữ toàn bộ cây","Luôn tìm ra đường đi dài nhất","Có thể bị kẹt trong các nhánh sâu vô hạn (infinite loop) nếu đồ thị có chu trình","Chỉ giải quyết được bài toán phát biểu không chỉnh","C"
"Câu 42: Khi biểu diễn một vấn đề thông qua Không gian trạng thái, mục đích cốt lõi là quy bài toán về thao tác toán học nào?","Tính tích phân bất định","Tìm kiếm đường đi từ đỉnh nguồn tới đỉnh đích trên đồ thị","Tính giá trị ma trận nghịch đảo","Sắp xếp mảng một chiều","B"
"Câu 43: Sự khác biệt giữa Tìm kiếm mù và Tìm kiếm Heuristic là gì?","Tìm kiếm mù nhanh hơn","Tìm kiếm mù sử dụng tri thức miền (domain knowledge) để chọn hướng đi","Tìm kiếm heuristic sử dụng hàm đánh giá để định hướng ưu tiên các trạng thái 'có hứa hẹn'","Tìm kiếm mù yêu cầu bộ nhớ ít hơn tuyệt đối","C"
"Câu 44: Trong thuật toán A*, f(u) là tổng của g(u) và h(u). Đỉnh được ưu tiên lấy ra khỏi danh sách L để phát triển là đỉnh có:","f(u) lớn nhất","f(u) nhỏ nhất","g(u) lớn nhất","h(u) nhỏ nhất (không xét đến g(u))","B"
"Câu 45: Đối với bài toán Tháp Hà Nội, ràng buộc chính xác của phép biến đổi trạng thái (toán tử) là gì?","Có thể di chuyển 2 đĩa cùng lúc","Đĩa lớn có thể đặt trên đĩa nhỏ","Mỗi lần chỉ chuyển 1 đĩa và luôn đảm bảo đĩa nhỏ nằm trên đĩa lớn","Không được phép dùng cọc trung gian","C"
"Câu 46: Khi cài đặt thuật toán Tìm kiếm tốt nhất đầu tiên (Best-First Search) hoặc A* trong C++, cấu trúc dữ liệu nào được sử dụng tối ưu nhất để quản lý danh sách L nhằm đạt độ phức tạp O(log N)?","std::vector kết hợp std::sort","std::stack","Hàng đợi ưu tiên std::priority_queue (Min-Heap)","Danh sách liên kết std::list","C"
"Câu 47: Trong tìm kiếm chiều sâu (DFS), giới hạn về kiến trúc phần cứng nào dễ gây ra lỗi Stack Overflow nhất khi không gian trạng thái của bài toán cực kỳ sâu?","Kích thước Cache L1 của CPU","Dung lượng RAM tổng của hệ thống","Kích thước vùng nhớ Call Stack cấp phát cho Thread","Tốc độ đọc/ghi của ổ cứng SSD","C"
"Câu 48: Hàm heuristic h(n) được gọi là 'Nhất quán' (Monotonic/Consistent) nếu nó tuân thủ bất đẳng thức tam giác nào sau đây đối với mọi đỉnh n và đỉnh kề p (chi phí cạnh là c(n,p))?","h(n) <= c(n, p) + h(p)","h(n) >= c(n, p) + h(p)","h(n) = c(n, p) * h(p)","h(n) <= g(n)","A"
"Câu 49: Ý nghĩa sức mạnh của việc thiết kế hàm heuristic h(n) tuân thủ tính 'Nhất quán' (Consistent) trong thuật toán A* trên đồ thị là gì?","Làm cho thuật toán chạy với độ phức tạp O(1)","Đảm bảo rằng mỗi khi A* lấy một đỉnh ra khỏi hàng đợi ưu tiên, đường đi đến đỉnh đó đã là đường đi tối ưu nhất","Biến thuật toán A* thành DFS","Tiết kiệm 100% bộ nhớ lưu trữ","B"
"Câu 50: Đối với lớp bài toán có không gian trạng thái phân nhánh theo hàm mũ và yêu cầu tìm đường đi ngắn nhất, thuật toán nào kết hợp được tính tối ưu của BFS và mức tiêu thụ bộ nhớ O(b x d) của DFS?","Simulated Annealing","Iterative Deepening DFS (IDDFS - Tìm kiếm sâu dần)","Bidirectional BFS","Greedy Best-First Search","B"
"Câu 51: Trong kỹ thuật Tìm kiếm leo đồi (Hill Climbing), khi thuật toán đạt đến một đỉnh mà tất cả các đỉnh kề đều có hàm đánh giá tồi hơn, nhưng đó vẫn chưa phải là đỉnh đích tối ưu toàn cục. Trạng thái này được gọi là gì?","Đỉnh tối ưu toàn cục (Global Maxima)","Đỉnh kẹt (Dead-end)","Cực đại cục bộ (Local Maxima)","Cao nguyên (Plateau)","C"
"Câu 52: Để thoát khỏi cái bẫy 'Cực đại cục bộ' (Local Maxima) của thuật toán Leo đồi, biến thể nào sau đây cho phép thuật toán thi thoảng chấp nhận một bước đi tồi hơn với một xác suất giảm dần theo 'Nhiệt độ' (Temperature)?","Alpha-Beta Pruning","Simulated Annealing (Luyện kim mô phỏng)","K-Nearest Neighbors","A* Search","B"
"Câu 53: Trong không gian trạng thái của bài toán 8-puzzle (sắp số 3x3), có bao nhiêu trạng thái hoán vị khả thi có thể sinh ra từ một cấu hình hợp lệ?","9! (362,880 trạng thái)","9! / 2 (181,440 trạng thái do tính chẵn/lẻ của nghịch thế)","8! (40,320 trạng thái)","Vô cực","B"
"Câu 54: Để kiểm tra nhanh trạng thái ĐÃ DUYỆT (Visited) trong các bài toán tìm kiếm có không gian trạng thái lớn, cấu trúc dữ liệu nào mang lại hiệu năng tra cứu trung bình O(1)?","Bảng băm (Hash Table / std::unordered_set)","Cây đỏ đen (Red-Black Tree / std::set)","Mảng động (std::vector)","Cây phân hoạch nhị phân","A"
"Câu 55: Nếu thiết kế hàm heuristic h(u) = 0 cho mọi đỉnh u, thuật toán A* sẽ hoạt động chính xác tương đương với thuật toán đồ thị kinh điển nào?","Bellman-Ford","Thuật toán Prim","Thuật toán Dijkstra","Floyd-Warshall","C"
"Câu 56: Nếu hàm heuristic h(u) luôn trả về đúng chi phí thực tế nhỏ nhất từ u tới đích (tức h(u) = h*(u)), độ phức tạp thời gian của thuật toán A* để tìm đến đích sẽ là bao nhiêu?","O(b^d)","O(N log N)","O(d) (Độ sâu của đích - Tuyến tính)","O(V + E)","C"
"Câu 57: Cắt tỉa Alpha-Beta (Alpha-Beta Pruning) là một dạng tối ưu hóa không gian tìm kiếm, thường được áp dụng trên nền tảng thuật toán cốt lõi nào cho bài toán cờ (tìm kiếm đối thủ)?","A*","DFS kết hợp Minimax","BFS","Nhánh cận","B"
"Câu 58: Kỹ thuật Tìm kiếm 2 chiều (Bidirectional Search) tiến hành duyệt đồng thời từ gốc tới đích và từ đích ngược về gốc. Nếu độ sâu nghiệm là d và hệ số phân nhánh là b, kỹ thuật này giúp giảm không gian thời gian từ O(b^d) xuống còn bao nhiêu?","O(b x d)","O(b^(d/2))","O(log_b d)","O(d/2)","B"
"Câu 59: Thuật toán Nhánh - Cận (Branch and Bound) với cơ chế giới hạn trên/dưới là kỹ thuật kinh điển thường dùng để giải quyết dứt điểm các lớp bài toán nào trong Lập trình thi đấu?","Tính toán hình học (Convex Hull)","Cấu trúc dữ liệu chuỗi (Suffix Automaton)","Lớp bài toán NP-Hard yêu cầu tìm cấu hình tối ưu (Ví dụ: TSP, Knapsack)","Phân rã đồ thị (SCC, Bridges/Articulation Points)","C"
"Câu 60: Khi giải bài toán tìm kiếm đồ thị với BFS trong C++, nếu bỏ quên thao tác đánh dấu 'Đã duyệt' NGAY KHI ĐẨY ĐỈNH VÀO QUEUE (mà lại đánh dấu khi lấy ra), rủi ro thuật toán gặp phải là gì?","Thuật toán chạy nhanh hơn nhưng sai kết quả","Hàng đợi (Queue) sẽ chứa vô số các đỉnh trùng lặp, gây bùng nổ bộ nhớ và TLE (Time Limit Exceeded)","Thuật toán biến thành DFS","Không lấy được đường đi ngắn nhất","B"
