"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Câu 11: Môi trường mà ở đó các cảm nhận hoặc hành vi được phân biệt một cách rõ ràng được gọi là môi trường có tính chất gì?","Tĩnh","Rời rạc","Quan sát được đầy đủ","Xác định được","B"
"Câu 12: Trong tác tử phản xạ đơn giản (Simple reflex agent), hành động của tác tử được đưa ra dựa trên cơ sở nào?","Chuỗi các cảm nhận trong quá khứ","Trạng thái hiện tại, không xét đến quá khứ","Dự đoán về tương lai","Lợi ích tối đa đạt được","B"
"Câu 13: Quy tắc 'Condition-action rules' (Luật điều kiện - hành động) là thành phần cốt lõi của loại tác tử nào?","Tác tử phản xạ có trạng thái","Tác tử hướng lợi ích","Tác tử phản xạ đơn giản","Tác tử với khả năng học","C"
"Câu 14: Loại tác tử nào lưu giữ các 'trạng thái bên trong' (internal states) để phản ánh những khía cạnh không quan sát được của môi trường?","Tác tử phản xạ đơn giản","Tác tử phản xạ có trạng thái","Tác tử dựa trên bảng điều khiển","Đa tác tử","B"
"Câu 15: Để cập nhật trạng thái bên trong, Tác tử phản xạ có trạng thái cần biết hai thông tin quan trọng nào về thế giới?","Thế giới tiến hóa như thế nào và hành động của tác tử gây ra điều gì","Mục tiêu cuối cùng là gì và chi phí bao nhiêu","Có bao nhiêu tác tử khác và chúng đang làm gì","Luật lôgíc hình thức và hệ chuyên gia","A"
"Câu 16: Tác tử hướng mục đích (Goal-based agent) khác với tác tử phản xạ ở điểm nào?","Nó không sử dụng cảm biến","Nó chỉ hoạt động trong môi trường tĩnh","Nó phải suy luận về tương lai (nếu làm hành động A thì thế giới sẽ ra sao) để đạt đích","Nó luôn chứa một bộ sinh vấn đề (problem generator)","C"
"Câu 17: Các dạng đích của Tác tử hướng mục đích có thể là gì?","Một trạng thái cụ thể","Tập các trạng thái thỏa mãn một tính chất","Đích khiến tác tử phải suy luận về tương lai","Tất cả các đáp án trên đều đúng","D"
"Câu 18: Tác tử muốn thực hiện hành động đem lại kết quả tốt nhất, có lợi nhất về lâu dài và có thể suy luận về sự xung đột giữa các đích là loại tác tử nào?","Tác tử hướng mục đích","Tác tử hướng lợi ích (Utility-based agent)","Tác tử phản xạ có trạng thái","Tác tử học","B"
"Câu 19: Đặc điểm nổi bật của Tác tử hướng lợi ích khi hoạt động trong môi trường thực tế là gì?","Chỉ dùng bảng tìm kiếm","Có thể đối phó với các tình huống không chắc chắn","Không bao giờ cần cập nhật trạng thái","Luôn yêu cầu môi trường phải quan sát được đầy đủ","B"
"Câu 20: Thành phần 'Learning element' (Phần tử học) trong kiến trúc của Tác tử với khả năng học có nhiệm vụ gì?","Đưa ra các hành động ra môi trường","Đánh giá chất lượng của hành động dựa trên tiêu chuẩn hiệu năng","Tạo ra các thay đổi để cải thiện tri thức và hiệu năng","Đề xuất các hành động mới mang tính khám phá","C"
"Câu 21: Trong kiến trúc của Tác tử với khả năng học, thành phần nào có nhiệm vụ gợi gợi ý các hành động có thể dẫn đến những kinh nghiệm mới, có ích (khám phá)?","Critic","Performance element","Learning element","Problem generator (Bộ sinh vấn đề)","D"
"Câu 22: Thành phần 'Critic' trong Tác tử học cung cấp thông tin phản hồi (feedback) cho thành phần nào?","Problem generator","Learning element","Actuators","Sensors","B"
"Câu 23: Cảm biến (Sensor) của Tác tử lái xe tự động bao gồm những thiết bị nào?","Bánh xe, chân ga, phanh","Đường giao thông, người đi bộ","Camera, máy đo tốc độ","Độ an toàn, đúng luật","C"
"Câu 24: Đối với tác tử chơi cờ, môi trường của nó mang tính chất nào sau đây?","Động và liên tục","Tĩnh và rời rạc","Quan sát được bộ phận và không xác định","Đơn tác tử","B"
"Câu 25: Tác tử chatbot bán hàng có Actuator (Bộ kích hoạt) là gì?","Khách hàng","Lịch sử mua hàng","Phân loại sai ý định","Trình bày hóa đơn, điền hợp đồng, gửi hợp đồng hoặc giao diện web","D"
"Câu 26: Môi trường của tác tử 'mở khóa điện thoại bằng vân tay' có tính chất tĩnh hay động?","Động (Thay đổi liên tục trong quá trình quét)","Tĩnh (Không thay đổi trong lúc tác tử đưa ra quyết định mở khóa)","Bán động","Ngẫu nhiên","B"
"Câu 27: Môi trường 'Lái xe tự động' là môi trường có tính chất Đơn hay Đa tác tử?","Đơn tác tử (Chỉ có một xe tự động trên đường)","Đa tác tử (Có nhiều xe, người đi bộ cùng tương tác)","Không có tác tử nào","Tác tử ảo","B"
"Câu 28: Chương trình tác tử chạy trên kiến trúc vật lý để tạo ra hàm f. Công thức đúng của ánh xạ này là?","f: A -> P*","f: P -> A*","f: P* -> A","f: A* -> P","C"
"Câu 29: Nếu môi trường thay đổi trong khi tác tử đang suy nghĩ/hoạt động, môi trường đó được gọi là?","Môi trường động","Môi trường tĩnh","Môi trường liên tục","Môi trường rời rạc","A"
"Câu 30: Mục tiêu tối thượng của việc thiết kế một tác tử thông minh là gì?","Cực đại hóa dung lượng bộ nhớ","Lựa chọn hành động sao cho tối đa hóa hàm đánh giá hiệu năng","Giảm thiểu số lượng cảm biến để tiết kiệm chi phí","Sử dụng bảng điều khiển càng lớn càng tốt","B"
"Câu 31: Khái niệm 'Tác tử hợp lý' (Rational Agent) trong trí tuệ nhân tạo được định nghĩa chính xác nhất là gì?","Tác tử không bao giờ mắc lỗi phần cứng","Tác tử luôn thực hiện hành động dự kiến sẽ cực đại hóa chỉ số hiệu suất của nó, dựa trên các chuỗi nhận thức đã có và tri thức tích hợp","Tác tử có khả năng bắt chước hoàn hảo cảm xúc của con người","Tác tử sử dụng thuật toán vét cạn để tìm ra giải pháp tuyệt đối chính xác trong mọi trường hợp","B"
"Câu 32: Trong thiết kế các hệ thống nhúng thông minh ở biên (Edge IoT Agents), nếu tác tử không thể truy cập trực tiếp trạng thái hoàn chỉnh của môi trường, môi trường đó gọi là gì?","Fully Observable (Quan sát được đầy đủ)","Partially Observable (Quan sát được một phần)","Deterministic (Xác định)","Episodic (Theo hồi)","B"
"Câu 33: Môi trường Stochastic (Ngẫu nhiên) đòi hỏi tác tử phải đối mặt với khó khăn gì?","Trạng thái tiếp theo phụ thuộc hoàn toàn vào hành động của tác tử","Tác tử không thể sử dụng bộ nhớ","Trạng thái tiếp theo không được xác định hoàn toàn bởi trạng thái hiện tại và hành động, mà có yếu tố bất định","Môi trường luôn đứng im khi tác tử xử lý tính toán","C"
"Câu 34: Một hệ thống AI phân tích từng khung hình độc lập, quyết định ở khung hình này không ảnh hưởng đến khung hình tiếp theo. Đây là đặc điểm của môi trường nào?","Sequential (Tuần tự)","Episodic (Phân đoạn/Theo hồi)","Continuous (Liên tục)","Multi-agent (Đa tác tử)","B"
"Câu 35: Tại sao 'Tác tử phản xạ đơn giản' không phù hợp để điều khiển một cánh tay robot thực hiện các tác vụ phức tạp và liên tiếp?","Vì nó không có khả năng tính toán ma trận","Vì nó chỉ hoạt động dựa trên Deep Learning","Vì nó bỏ qua lịch sử cảm nhận, dẫn đến không thể xử lý trạng thái bị che khuất một phần","Vì nó cần quá nhiều tài nguyên bộ nhớ","C"
"Câu 36: Trong Học tăng cường, 'Exploitation' (Khai thác) có nghĩa là gì?","Tác tử thử nghiệm ngẫu nhiên để tìm kết quả chưa biết","Tác tử tận dụng tri thức hiện có để chọn hành động mang lại phần thưởng cao nhất đã biết","Tác tử vô hiệu hóa cảm biến để tiết kiệm","Tác tử lặp lại hành động tồi nhất để huấn luyện Critic","B"
"Câu 37: Cấu trúc của 'Tác tử hướng lợi ích' yêu cầu một hàm nội tại để đánh giá điều gì?","Tính hợp lệ của cú pháp","Bản đồ không gian trạng thái","Mức độ 'hài lòng' hay 'hạnh phúc' (mức lợi ích) của các trạng thái môi trường mang lại","Tốc độ khung hình (FPS) của luồng dữ liệu","C"
"Câu 38: Trong hệ thống Multi-Agent, khi các tác tử hoạt động với mục tiêu xung đột nhau, môi trường này mang tính chất gì?","Cooperative (Hợp tác)","Competitive (Cạnh tranh/Đối kháng)","Episodic (Theo hồi)","Static (Tĩnh)","B"
"Câu 39: Khi thiết kế một Tác tử để giải quyết các bài toán biên như 'x-50' một cách linh hoạt không báo lỗi, tác tử cần đặc điểm gì nổi bật?","Cơ sở dữ liệu tĩnh","Chỉ sử dụng luật IF-THEN cứng nhắc","Khả năng tự trị và bộ sinh vấn đề linh hoạt để xử lý các percepts không mong đợi (Robustness)","Giao diện đồ họa phức tạp","C"
"Câu 40: Hàm Q(s,a) trong thuật toán Q-Learning biểu thị giá trị gì?","Trạng thái hiện tại của bộ kích hoạt","Tốc độ xung nhịp của CPU","Chất lượng kỳ vọng (expected utility) của việc thực hiện hành động a tại trạng thái s","Kích thước bộ nhớ cần thiết","C"
