"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Câu 23: Bước 'Chuyển vế' trong thuật toán Vương Hạo (Wong. H) thực hiện quy tắc gì đối với các giả thiết ở VẾ TRÁI?","Chuyển sang vế phải và giữ nguyên dấu","Chuyển sang vế phải và đổi thành PHỦ ĐỊNH","Chuyển vế phải sang vế trái và đổi dấu","Triệt tiêu các giả thiết giống nhau","B"
"Câu 24: Trong thuật toán Vương Hạo, nếu ở vế trái có phép HOẶC, hoặc ở vế phải có phép VÀ, ta phải làm gì?","Dừng thuật toán","Bỏ qua mệnh đề đó","Tách thành hai dòng con","Phủ định toàn bộ dòng đó","C"
"Câu 25: Theo thuật toán Vương Hạo, điều kiện để một dòng (một bài toán con) được coi là ĐÃ ĐƯỢC CHỨNG MINH là gì?","Vế trái rỗng","Vế phải rỗng","Tồn tại chung một mệnh đề ở cả hai vế (Vế trái giao Vế phải khác rỗng)","Không còn phép tính logic nào","C"
"Câu 26: Độ phức tạp tính toán của thuật toán Vương Hạo và thuật toán Hợp giải đối với logic mệnh đề rơi vào cấp độ nào?","Hàm mũ O(2^n)","Hàm giai thừa O(n!)","Cấp đa thức O(n)","Logarit O(log n)","C"
"Câu 27: Thuật toán Hợp giải (Resolution) của Robinson hoạt động dựa trên phương pháp chứng minh cốt lõi nào của toán học?","Chứng minh quy nạp","Chứng minh phản chứng","Chứng minh trực tiếp","Suy diễn tiến","B"
"Câu 28: Bước đầu tiên của phương pháp phản chứng trong Thuật toán Hợp giải Robinson là gì?","Lấy phủ định của toàn bộ tập Giả thiết","Lấy phủ định của tập Kết luận và hợp cùng giả thiết","Tách vế trái và vế phải","Loại bỏ mọi phép HOẶC","B"
"Câu 29: Trong thuật toán Robinson, sau khi thêm phần phủ định của kết luận vào tập giả thiết, tất cả các mệnh đề phải được đưa về dạng nào?","Dạng chuẩn hội (Hội của các tuyển)","Dạng chuẩn tuyển (Tuyển của các hội)","Câu đơn","Dạng IF-THEN","A"
"Câu 30: Quá trình 'Hợp giải' trong thuật toán Robinson dừng lại và kết luận bài toán ĐÃ ĐƯỢC CHỨNG MINH khi nào?","Khi sinh ra được một mệnh đề trùng với giả thiết ban đầu","Khi hết không gian bộ nhớ","Khi sinh ra được 2 mệnh đề có giá trị chân lý đối nhau (mâu thuẫn)","Khi không tạo thêm được mệnh đề mới nào","C"
"Câu 31: Nếu quá trình hợp giải trong thuật toán Robinson chạy đến khi không thể tạo thêm mệnh đề mới nào mà VẪN KHÔNG tìm thấy sự mâu thuẫn, kết luận là gì?","Bài toán được chứng minh","Bài toán không chứng minh được (kết luận sai)","Cần đổi sang thuật toán Vương Hạo","Thuật toán bị lỗi lặp vô hạn","B"
"Câu 32: Tri thức 'Nếu n là số nguyên chẵn (a) và n là số nguyên tố (b) thì n=2 (c)' được biểu diễn bằng logic mệnh đề như thế nào?","a OR b => c","a AND b => c","a => b AND c","a AND c => b","B"
"Câu 33: Áp dụng luật Modus Ponens: Cho biết 'Trời mưa thì đường ướt' (P => Q) và hiện tại 'Trời đang mưa' (P). Ta suy ra được điều gì?","Đường không ướt","Trời không mưa","Đường ướt","Không suy ra được gì","C"
"Câu 34: Áp dụng luật Modus Tollens: Cho biết 'Nếu ốm thì mệt' (A => B) và hiện tại 'Không mệt' (NOT B). Ta suy ra được điều gì?","Ốm","Không ốm (NOT A)","Mệt","Không xác định","B"
"Câu 35: Cho mệnh đề NOT(A OR B). Áp dụng luật De Morgan, mệnh đề này tương đương với:","NOT A OR NOT B","NOT A AND NOT B","A AND B","A OR B","B"
"Câu 36: Để tự động hóa chứng minh trên máy tính, máy tính thích làm việc với dạng chuẩn nào nhất vì tính quy củ và dễ lập trình của nó?","Dạng chuẩn hội (CNF)","Dạng hàm bậc hai","Biểu thức chứa nhiều dấu tương đương","Dạng câu hỏi tự nhiên","A"
"Câu 37: Biểu thức (A OR B) AND C là dạng chuẩn gì?","Dạng chuẩn Tuyển","Dạng chuẩn Hội","Dạng chuẩn Horn","Dạng Modus Ponens","B"
"Câu 38: Giả sử tập giả thiết P có chứa hai mệnh đề: 1. NOT a OR b; 2. a OR c. Thực hiện hợp giải qua ký hiệu 'a', ta thu được mệnh đề mới nào?","NOT a OR c","b OR c","NOT b OR c","NOT a OR b OR c","B"
"Câu 39: Hàm mauthuan(P) trong thuật toán Robinson sẽ trả về TRUE khi nào?","Khi P rỗng","Khi trong P chứa p1 = NOT p2 hoặc ngược lại","Khi P chứa quá nhiều biến","Khi vòng lặp While kết thúc","B"
"Câu 40: Hàm TRANS(BT) trong giả mã của các thuật toán chứng minh tự động có nhiệm vụ gì?","Đưa biểu thức BT về dạng CHUẨN HOẶC (chỉ chứa OR, NOT)","Dịch ngôn ngữ tự nhiên sang logic","Xóa các biến thừa","Tạo file log","A"
"Câu 41: Cho GT = {a, b} và luật a AND b => c. Bằng luật Modus Ponens, ta suy ra được gì?","a","b","NOT c","c","D"
"Câu 42: Khi biểu diễn lại giả thiết a, NOT b, c => d trong bước chuyển vế của thuật toán Vương Hạo, dòng này sẽ thành:","a, b, c => d","a, c => d, b","NOT a, NOT c => d, b","a, c => NOT d, b","B"
"Câu 43: Phương pháp hợp giải Robinson rất hiệu quả cho máy tính vì nó quy mọi phép chứng minh phức tạp về chỉ một quy tắc duy nhất. Đó là quy tắc gì?","Quy tắc đổi dấu","Quy tắc Phân giải (Resolution) trên tập các mệnh đề dạng chuẩn hội","Quy tắc Bắc cầu","Quy tắc Thay thế biến","B"
"Câu 44: Khi bài toán Vương Hạo tách dòng p AND q => q OR r, nó sẽ tạo ra hai dòng con nào?","p AND q => q VÀ p AND q => r","p => q VÀ q => r","p OR q => q VÀ p OR q => r","p AND q => q AND r","A"
"Câu 45: Đối với bài toán chứng minh tự động có số lượng luật khổng lồ, khó khăn lớn nhất mà hệ thống gặp phải là gì?","Sự bùng nổ tổ hợp của không gian tìm kiếm các bước hợp giải","Không hỗ trợ số nguyên","Ngôn ngữ lập trình không hiểu dấu OR","Thiếu giao diện người dùng","A"
"Câu 46: Thuật toán Hợp giải (Resolution) của Robinson là nền tảng cốt lõi (inference engine) đằng sau ngôn ngữ lập trình trí tuệ nhân tạo nổi tiếng nào?","Python","Prolog (Programming in Logic)","LISP","Java","B"
"Câu 47: Trong xây dựng Hệ chuyên gia, Cơ sở tri thức thường được lưu trữ dưới dạng một tập hợp khổng lồ các câu lệnh dạng nào để dễ suy diễn?","Mảng 2 chiều","Dạng chuẩn Horn (Các luật If-Then)","Đồ thị có hướng trọng số","Cây quyết định nhị phân","B"
"Câu 48: Giới hạn lớn nhất của Lôgíc mệnh đề là không thể biểu diễn cấu trúc tổng quát của các đối tượng. Để khắc phục, AI phải nâng cấp lên sử dụng loại logic nào mạnh mẽ hơn?","Lôgíc mờ (Fuzzy Logic)","Lôgíc vị từ bậc nhất (First-Order Logic) chứa các lượng từ với mọi, tồn tại","Đại số Boolean","Mạng nơ-ron sâu","B"
"Câu 49: Trong hệ thống suy diễn tự động, kỹ thuật 'Đồng nhất hóa' (Unification) được sử dụng để làm gì?","Gom các biến số có cùng kiểu dữ liệu","Tìm một phép thế các biến làm cho hai biểu thức logic trở nên giống hệt nhau để áp dụng hợp giải","Hợp nhất hai cơ sở dữ liệu lại với nhau","Chuyển đổi mã máy sang mã máy","B"
"Câu 50: Trong Hệ chuyên gia y tế MYCIN, cơ chế suy diễn chính dựa trên các luật Horn là cơ chế nào?","Suy diễn tiến (Forward Chaining)","Suy diễn lùi (Backward Chaining) bắt đầu từ giả thuyết bệnh đi lùi tìm triệu chứng","Tìm kiếm A*","Mạng nơ-ron lan truyền ngược","B"
"Câu 51: Sự khác biệt cốt lõi giữa Suy diễn tiến và Suy diễn lùi trong AI là gì?","Suy diễn tiến chạy nhanh hơn suy diễn lùi","Suy diễn tiến xuất phát từ sự kiện để tìm kết luận mới, suy diễn lùi xuất phát từ kết luận và tìm ngược lại bằng chứng","Suy diễn lùi không dùng luật If-Then","Suy diễn lùi chỉ dùng cho thuật toán Vương Hạo","B"
"Câu 52: Điểm yếu của phương pháp Vương Hạo (Natural Deduction) khi lập trình trên máy tính so với phương pháp Robinson là gì?","Cần quá nhiều bộ nhớ đệm","Có quá nhiều quy tắc tách/chuyển vế dẫn đến chiến lược điều khiển phức tạp và khó tối ưu hơn một quy tắc hợp giải duy nhất","Không hỗ trợ mệnh đề phủ định","Không hỗ trợ toán tử AND","B"
"Câu 53: CWA (Closed-World Assumption) trong hệ thống AI có nghĩa là gì?","Thế giới không cho phép tác tử bên ngoài can thiệp","Mệnh đề nào không chứng minh được là ĐÚNG trong cơ sở tri thức thì mặc định bị coi là SAI","Trạng thái môi trường không bao giờ thay đổi","Tri thức luôn được bảo mật","B"
"Câu 54: Khi cơ sở tri thức có chứa mâu thuẫn, theo quy tắc Lôgíc hình thức cổ điển, hệ thống suy diễn sẽ gặp phải thảm họa gì?","Hệ thống dừng hoạt động","Chạy vòng lặp vô hạn","Nguyên lý Nổ: Từ mâu thuẫn, hệ thống có thể chứng minh được MỌI mệnh đề đều là Đúng","Xóa bỏ một mệnh đề ngẫu nhiên","C"
"Câu 55: Để xử lý những tri thức không chắc chắn trong thực tế, hệ thống AI sử dụng công cụ nào thay vì lôgíc mệnh đề nhị phân?","Đồ thị tri thức","Lôgíc mờ (Fuzzy Logic) hoặc Hệ số tin cậy (Certainty Factors)","Tìm kiếm mù","Thuật toán phân giải","B"
"Câu 56: SAT Solver là các chương trình tính thỏa mãn logic mệnh đề. Ứng dụng thực tiễn lớn nhất của SAT Solver hiện nay là gì?","Nhận dạng khuôn mặt","Phân tích ngữ nghĩa tự nhiên","Xác minh tính đúng đắn thiết kế mạch điện tử, vi mạch và gỡ lỗi phần mềm (Formal Verification)","Dịch máy tự động","C"
"Câu 57: Thuật toán DPLL - cốt lõi của SAT Solver hiện đại - là sự kết hợp của:","Quy hoạch động và Tìm kiếm A*","Suy diễn lùi và Mạng nơ-ron","Thuật toán hợp giải (Resolution) kết hợp với Tìm kiếm quay lui (Backtracking)","Tìm kiếm leo đồi","C"
"Câu 58: Nhược điểm chí mạng của biểu diễn tri thức bằng Lôgíc Mệnh đề khi áp dụng vào các bài toán AI quy mô lớn?","Khó đọc đối với con người","Cú pháp quá phức tạp","Sự bùng nổ tổ hợp (Combinatorial Explosion): Số lượng mệnh đề tăng theo hàm mũ","Máy tính không xử lý được","C"
"Câu 59: Trong Prolog, dấu `:-` trong quy tắc `ancestor(X, Y) :- parent(X, Y).` tương đương với toán tử logic nào?","Phép VÀ","Phép HOẶC","Phép Kéo theo ngược (Nếu parent(X,Y) đúng thì ancestor(X,Y) đúng)","Phép Tương đương","C"
"Câu 60: Tại sao các hệ thống chứng minh tự động lại quan trọng trong việc phát triển 'Trí tuệ nhân tạo An toàn' (Safe AI)?","Chúng giúp AI có cảm xúc","Chúng cho phép chứng minh bằng toán học rằng mô hình AI sẽ luôn tuân thủ các ràng buộc an toàn trong mọi trường hợp khả thi","Chúng mã hóa dữ liệu","Chúng tăng tốc GPU","B"
