"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Trong mô hình truyền thông, Transmitter đóng vai trò gì?","Đóng vai trò chuyển đổi và mã hóa thông tin từ hệ thống nguồn thành các tín hiệu điện từ thích hợp để có thể đưa vào kênh truyền tải vật lý.","Là thiết bị đầu cuối nằm ở hệ thống đích có nhiệm vụ khôi phục tín hiệu nhận được về dạng dữ liệu ban đầu để người dùng có thể đọc và hiểu được.","Là môi trường không gian mạng bao gồm vô số các bộ định tuyến chuyên dụng kết nối với nhau để định hướng đường đi cho các gói dữ liệu.","Là điểm khởi tạo ra những ý tưởng hoặc thông điệp thô ban đầu trước khi chúng được đưa vào máy tính để bắt đầu quá trình biên dịch và đóng gói dữ liệu.","A"
"Khả năng chịu lỗi (Fault Tolerance) trong kiến trúc mạng có nghĩa là gì?","Mạng cung cấp nhiều đường dẫn dự phòng để hạn chế tác động của sự cố, đảm bảo trải nghiệm người dùng không bị ảnh hưởng khi một liên kết đứt gãy.","Hệ thống được thiết kế theo các tiêu chuẩn quốc tế giúp dễ dàng kết nối thêm hàng nghìn người dùng mới mà không làm suy giảm băng thông của những người hiện tại.","Là cơ chế phân loại luồng dữ liệu nhằm cấp mức độ ưu tiên cao nhất cho các dịch vụ truyền hình ảnh và âm thanh trực tiếp để chúng không bị ngắt quãng.","Là các biện pháp xác thực định danh và mã hóa thông tin người dùng nhằm chống lại những hành vi đánh cắp dữ liệu mật từ các tin tặc trên hệ thống mạng.","A"
"Khả năng mở rộng (Scalability) của mạng được hiểu như thế nào?","Triển khai kỹ thuật chuyển mạch gói để phân chia thông tin thành nhiều phần nhỏ giúp chúng có thể đi theo các tuyến đường khác nhau đến máy nhận một cách an toàn.","Mạng có khả năng mở rộng nhanh chóng để hỗ trợ người dùng và ứng dụng mới mà không làm ảnh hưởng xấu đến hiệu suất của các dịch vụ đang được cung cấp hiện tại.","Hệ thống mạng yêu cầu quản trị viên phải thiết lập trước một mạch truyền dẫn chuyên dụng cố định để giữ cho các cuộc gọi thoại trên nền tảng IP luôn diễn ra suôn sẻ.","Thiết lập hệ thống tường lửa bằng phần cứng kết hợp phần mềm mã độc nhằm ngăn chặn tối đa quyền truy cập vật lý trái phép vào các thiết bị định tuyến trung tâm.","B"
"Chất lượng dịch vụ (QoS) có tác dụng gì trong kiến trúc mạng?","Tự động khóa các tài khoản đăng nhập sai mật khẩu quá nhiều lần để bảo vệ cấu trúc vật lý của hệ thống máy chủ mạng khỏi các cuộc tấn công từ chối dịch vụ.","Hỗ trợ tái tạo cấu trúc hạ tầng mạng một cách linh hoạt bằng cách sử dụng nhiều kết nối thay thế mỗi khi có một bộ chuyển mạch nào đó ngừng hoạt động đột ngột.","Bộ định tuyến sử dụng các chính sách ưu tiên để quản lý luồng dữ liệu, đảm bảo phân phối thông tin đáng tin cậy cho các ứng dụng thoại và video trực tiếp.","Sử dụng kiến trúc mô-đun để các nhà cung cấp dịch vụ dễ dàng nâng cấp băng thông cáp quang mà không cần thay đổi lại toàn bộ cấu hình phần mềm hiện có.","C"
"Bảo mật thông tin (Confidentiality) trong mạng có ý nghĩa gì?","Bảo vệ các thiết bị phần cứng của mạng như router và switch khỏi những hành vi tiếp cận trực tiếp mang tính phá hoại vật lý từ các đối tượng không có quyền hạn.","Đảm bảo rằng các dữ liệu bí mật đang được truyền tải trên hệ thống mạng chỉ có thể được đọc và hiểu bởi những cá nhân hoặc hệ thống đã được chỉ định từ trước.","Đảm bảo độ tin cậy tuyệt đối về thời gian phản hồi của mạng, giúp người dùng hợp pháp luôn luôn truy cập được vào cơ sở dữ liệu quan trọng mỗi khi họ có nhu cầu.","Cam kết các gói tin khi đi qua những trạm trung chuyển Internet quốc gia không bị thay đổi, cắt xén hay chèn thêm bất kỳ nội dung độc hại nào vào cấu trúc nguyên bản.","B"
"Giao thức mạng (Protocol) được định nghĩa thế nào?","Là tập hợp các thiết bị phần cứng vật lý được thiết kế theo một tiêu chuẩn duy nhất để đảm bảo kết nối liên tục giữa các nhà cung cấp dịch vụ viễn thông quốc tế.","Là tập hợp các quy tắc và thỏa thuận đã được thiết lập để điều chỉnh cách thức định dạng, thời gian, và quy trình trao đổi thông điệp giữa các thực thể truyền thông.","Là công nghệ cáp quang tiên tiến nhất hiện nay giúp chia nhỏ lưu lượng dữ liệu thành các gói tin với kích thước cố định nhằm giảm thiểu tối đa tình trạng tắc nghẽn.","Là hệ thống phần mềm quản lý máy chủ trung tâm chuyên phân phối băng thông tốc độ cao cho các mạng ngang hàng có quy mô lớn trong môi trường doanh nghiệp.","B"
"Mã hóa thông điệp (Message encoding) trong truyền thông là quá trình gì?","Là việc phân đoạn các luồng dữ liệu lớn thành nhiều gói nhỏ bằng nhau trước khi chuyển giao chúng qua các mạng chuyển mạch để đảm bảo tốc độ tối ưu.","Là phương thức áp dụng các thuật toán an ninh mạng đa lớp nhằm giấu kín nội dung thực sự của các email cá nhân khỏi hệ thống quét tự động của chính phủ.","Là quá trình chuyển đổi thông tin từ hệ thống nguồn thành một dạng tín hiệu phù hợp với đặc tính của phương tiện truyền dẫn để có thể truyền đi qua mạng.","Là thao tác định tuyến các thông điệp dựa trên thông tin địa chỉ IP đích được gắn vào phần tiêu đề nhằm đảm bảo dữ liệu không đi lạc sang các mạng cục bộ khác.","C"
"Định dạng và đóng gói thông điệp trong giao thức đòi hỏi điều gì?","Thông điệp khi gửi đi phải sử dụng một cấu trúc định dạng cụ thể bao gồm các phần tiêu đề chứa địa chỉ nguồn và địa chỉ đích tùy thuộc vào loại kênh truyền.","Quy trình kiểm soát tốc độ gửi dữ liệu sao cho phù hợp với khả năng tiếp nhận của máy đích nhằm tránh tình trạng tràn bộ đệm gây mất mát thông tin quan trọng.","Hệ thống máy chủ tự động đếm số lần phản hồi lỗi từ mạng và quyết định việc có nên tiếp tục duy trì đường truyền hay hủy bỏ kết nối hiện tại để bảo toàn tài nguyên.","Thuật toán chuyển đổi tín hiệu dạng số thành dạng sóng liên tục để truyền tải qua đường cáp điện thoại truyền thống của các nhà cung cấp dịch vụ viễn thông.","A"
"Trong thời gian thông điệp, Kiểm soát luồng (Flow Control) mang ý nghĩa gì?","Đảm bảo rằng chỉ có một hệ thống duy nhất được quyền gửi dữ liệu tại một thời điểm nhằm tránh xung đột tín hiệu khi tất cả cùng truy cập vào một cáp mạng chung.","Quá trình quản lý và điều phối tốc độ truyền tải để đảm bảo lượng dữ liệu được gửi đi ở mức độ mà hệ thống đích có thể dễ dàng tiếp nhận và xử lý kịp thời.","Cơ chế tự động chấm dứt kết nối mạng sau một khoảng thời gian chờ nhất định nếu máy khách không nhận được bất kỳ phản hồi nào từ máy chủ cung cấp ứng dụng.","Giải pháp phân loại thông điệp thành ba mức ưu tiên khác nhau nhằm bảo đảm những cuộc gọi video không bao giờ bị nghẽn mạch bởi các tác vụ tải tệp tin thông thường.","B"
"Phương thức truy cập (Access method) trong mạng xác định điều gì?","Là cơ chế mã hóa các dải tần số không dây nhằm ngăn chặn người ngoài xâm nhập và lấy cắp băng thông của mạng Wi-Fi dùng trong môi trường văn phòng doanh nghiệp.","Xác định thời gian tối đa mà một gói tin được phép tồn tại trên mạng Internet trước khi bị các bộ định tuyến hủy bỏ để tránh tình trạng lặp vòng vô hạn định.","Xác định thời điểm thích hợp mà một thiết bị có quyền đưa dữ liệu lên đường truyền vật lý dùng chung nhằm tránh xảy ra hiện tượng va chạm tín hiệu với các trạm khác.","Quy định tốc độ dòng dữ liệu tối đa mà một máy trạm được phép tải xuống từ máy chủ cơ sở dữ liệu quốc gia trong những khoảng thời gian mạng bận rộn nhất.","C"
"Tùy chọn phân phối thông điệp Multicast hoạt động như thế nào?","Thông tin từ một máy trạm phát gốc được truyền tải trực tiếp và duy nhất đến đúng một thiết bị máy tính cá nhân đích thông qua việc định tuyến địa chỉ mạng nội bộ.","Thông tin từ một máy chủ đang được khuếch đại và phân phát tràn lan đến tất cả các thiết bị đầu cuối đang kết nối trong cùng một phân đoạn mạng bất kể chúng có yêu cầu.","Thông tin từ một nguồn phát đang được truyền đi một cách có chọn lọc đến một nhóm bao gồm nhiều thiết bị đầu cuối có nhu cầu tiếp nhận nội dung dữ liệu cụ thể đó.","Thông tin từ nhiều hệ thống phân tán khác nhau đang được gom tụ lại và gửi về một máy chủ đám mây trung tâm nhằm thực hiện quá trình phân tích và trích xuất dữ liệu.","C"
"Sự kiện quan trọng nào về sự phát triển Internet xảy ra năm 1969?","Mạng vệ tinh ALOHAnet tại Hawaii chính thức kết nối thành công với mạng ARPANET của quân đội Mỹ để tạo thành một siêu mạng không dây toàn cầu.","Bộ Quốc phòng Mỹ đã xây dựng thành công dự án mạng chuyển mạch gói ARPANET, đây được xem là hệ thống mạng tiền thân trực tiếp của Internet ngày nay.","Giao thức kết nối hệ thống mở OSI được Tổ chức Tiêu chuẩn hóa Quốc tế ban hành và ngay lập tức trở thành tiêu chuẩn chung duy nhất cho Internet toàn cầu.","Nhà khoa học Vinton Cerf và Bob Kahn đã chính thức công bố phát minh ra dịch vụ thư điện tử (E-mail) làm bùng nổ kỷ nguyên thương mại hóa mạng Internet.","B"
"Việt Nam chính thức kết nối Internet toàn cầu vào thời điểm nào?","Việt Nam đã kết nối mạng diện rộng toàn cầu lần đầu tiên vào năm 1991 thông qua một kênh thuê riêng của Tổng công ty Bưu chính Viễn thông với băng thông 2Mbps.","Tháng 11 năm 1996, chính phủ Việt Nam cho phép thành lập trạm trung chuyển quốc gia IXP đầu tiên nhằm quản lý toàn bộ các giao dịch thương mại điện tử qua mạng.","Ngày 19 tháng 11 năm 1997, Việt Nam chính thức kết nối Internet toàn cầu thông qua đường truyền quốc tế tốc độ 64kbps với nhà cung cấp dịch vụ duy nhất là VNPT.","Cuối năm 2007, Việt Nam bắt đầu đưa mạng lưới cáp quang biển vào hoạt động thương mại hóa, đánh dấu việc hoàn thành hệ thống mạng lưới viễn thông trên toàn quốc.","C"
"Nhà cung cấp dịch vụ Internet dùng riêng (ISP dùng riêng) có đặc điểm gì?","Là mạng của các trường đại học hoặc viện nghiên cứu được quyền cung cấp dịch vụ Internet cho thành viên nhưng tuyệt đối không được dùng với mục đích kinh doanh.","Là các nhà mạng chuyên cung cấp những giải pháp kết nối đường truyền cáp quang băng thông cực rộng để thu phí dịch vụ từ các doanh nghiệp và tập đoàn kinh tế lớn.","Là những điểm trung chuyển băng thông quốc gia có trách nhiệm kết nối mạng nội bộ của nhiều bộ ban ngành khác nhau thành một cấu trúc liên kết khép kín tuyệt đối an toàn.","Là các trang thông tin điện tử uy tín chuyên đưa lên không gian mạng các nội dung về kinh tế chính trị được cập nhật thường xuyên nhằm mục đích tuyên truyền phổ biến giáo dục.","A"
"Nhà cung cấp nội dung Internet (ICP) đóng vai trò gì?","Chịu trách nhiệm trực tiếp trong việc xây dựng và bảo trì các hệ thống cáp truyền dẫn vật lý xuyên quốc gia nhằm đảm bảo tín hiệu kết nối giữa các trạm máy chủ toàn cầu.","Cung cấp cho khách hàng các giải pháp giao dịch trực tuyến qua mạng như ngân hàng điện tử, đào tạo từ xa và hệ thống thương mại điện tử cho người tiêu dùng cá nhân.","Chuyên cung cấp và cập nhật thường xuyên các thông tin về kinh tế, giáo dục, thể thao, chính trị và quân sự để đưa lên phục vụ cộng đồng trên môi trường mạng Internet.","Hoạt động như một cổng phân phối tài nguyên địa chỉ IP động cho các hộ gia đình và văn phòng nhỏ nhằm đảm bảo tất cả thiết bị đều có thể truy cập được vào website.","C"
"Công thức tính trễ truyền dẫn (Transmission delay) trên đường liên kết là gì?","Bằng độ dài liên kết vật lý giữa hệ thống gửi và nhận chia cho tốc độ lan truyền tín hiệu điện từ hoặc ánh sáng trong môi trường truyền dẫn (khoảng 2x10^8 m/s).","Bằng tổng kích thước của toàn bộ gói dữ liệu tính theo byte chia cho dung lượng băng thông tối đa của kênh truyền dẫn tính theo số lượng bit truyền được trong một giây.","Bằng khoảng thời gian mà thiết bị định tuyến trung gian giữ lại toàn bộ gói tin trong bộ đệm để tiến hành kiểm tra mã lỗi trước khi chuyển tiếp nó đến trạm kế tiếp.","Bằng số lượng gói tin bị tắc nghẽn tại một điểm nút mạng cụ thể nhân với thời gian trung bình mà một gói tin phải chờ đợi để được cấp phát khe thời gian truyền tải.","A"
"Nhược điểm chính của mạng chuyển mạch kênh (Circuit switching) là gì?","Dữ liệu được băm nhỏ thành hàng triệu phần bằng nhau và tự do di chuyển qua lại trên các con đường bất kỳ để cuối cùng lắp ráp lại tại máy chủ nhận nhằm tối ưu tốc độ.","Thiết lập một liên kết vật lý dành riêng giữa hai nút mạng cho tới khi kết thúc giao tiếp, đảm bảo chất lượng truyền dẫn nhưng gây lãng phí băng thông khi kênh rảnh rỗi.","Thông điệp chứa đầy đủ địa chỉ nguồn và đích, sau đó được từng thiết bị trung gian tiếp nhận và lưu trữ toàn bộ trước khi chuyển tiếp sang thiết bị trung gian tiếp theo.","Thường xuyên gây ra tình trạng xung đột tín hiệu vì tất cả các thiết bị máy tính trên mạng đều phải dùng chung một môi trường cáp đồng trục để thực hiện các cuộc gọi.","B"
"Mạng chuyển mạch gói (Packet switching) hoạt động theo nguyên lý nào?","Bắt buộc hai trạm giao tiếp phải thương lượng và cấp phát một kênh truyền thông cố định độc quyền để ngăn chặn hoàn toàn nguy cơ bị nghe lén dữ liệu trong quá trình kết nối.","Yêu cầu các bộ định tuyến phải có dung lượng bộ nhớ cực kỳ khổng lồ để có thể lưu trữ nguyên vẹn các tệp video dung lượng cao trong một khoảng thời gian dài trước khi gửi.","Dữ liệu được chia nhỏ, mỗi phần chứa thông tin điều khiển riêng và được định tuyến một cách độc lập qua mạng, giúp nhiều liên kết có thể cùng chia sẻ một kênh truyền dẫn chung.","Đảm bảo tất cả thông tin truyền đi sẽ đến đích một cách tuần tự và chính xác tuyệt đối mà không cần thiết bị nhận phải thực hiện thêm bất cứ thuật toán khôi phục dữ liệu nào.","C"
"Lợi ích của việc áp dụng kiến trúc phân lớp (layered model) là gì?","Giúp bảo mật thông tin tuyệt đối bằng cách giấu kín quy trình hoạt động của các lớp trên cùng khỏi những con mắt nhòm ngó của các kỹ sư mạng chuyên quản trị thiết bị lõi.","Mô đun hóa các hoạt động phức tạp của mạng thành những lớp quản lý được, hỗ trợ thiết kế giao thức và đảm bảo thay đổi công nghệ ở một lớp không làm ảnh hưởng đến lớp khác.","Ngăn cấm hoàn toàn sự cạnh tranh công nghệ giữa các nhà cung cấp thiết bị phần cứng khác nhau nhằm tạo ra một hệ sinh thái viễn thông khép kín và thống nhất trên toàn thế giới.","Yêu cầu các nhà phát triển phần mềm phải thiết kế ra một hệ điều hành duy nhất có thể xử lý đồng thời tất cả những thao tác liên quan đến định tuyến, đóng gói và mã hóa tín hiệu.","B"
"Quá trình đóng gói dữ liệu (Encapsulation) tại bên gửi diễn ra như thế nào?","Hệ thống nhận tiến hành phân tích sâu các tiêu đề đi kèm trong mỗi gói tin, kiểm tra tính toàn vẹn của thông tin và sau đó loại bỏ hoàn toàn tiêu đề để trích xuất dữ liệu gốc.","Là kỹ thuật chuyển đổi trực tiếp các luồng bit kỹ thuật số sang các dạng sóng điện từ tương tự để có thể dễ dàng đi qua môi trường truyền dẫn không dây ở khoảng cách xa.","Bên gửi tiến hành bổ sung các phần tiêu đề chứa thông tin điều khiển phục vụ cho việc xử lý dữ liệu tại lớp tương ứng trước khi chuyển giao toàn bộ khối dữ liệu đó xuống lớp dưới.","Thuật toán nén các tập tin văn bản và hình ảnh xuống một kích thước nhỏ gọn nhất có thể để giảm thiểu thời gian chờ đợi khi người dùng tải thông tin từ máy chủ trung tâm về máy trạm.","C"
"Đặc điểm phân biệt giữa mô hình tham chiếu OSI và mô hình TCP/IP là gì?","Mô hình OSI gồm 4 lớp thực tế đang thống trị hoàn toàn hệ thống mạng doanh nghiệp, trong khi mô hình TCP/IP gồm 7 lớp chỉ mang ý nghĩa lý thuyết dùng trong giảng dạy học thuật.","Cả hai mô hình này đều bắt buộc các nhà phát triển phần mềm ứng dụng mạng phải tuân thủ nghiêm ngặt mọi chi tiết kỹ thuật từ lớp vật lý cho đến lớp phiên mà không được thay đổi.","Mô hình OSI là một mô hình tham chiếu lý thuyết gồm 7 lớp cung cấp đầy đủ chức năng, trong khi mô hình TCP/IP gồm 4 lớp là mô hình mạng Internet thực tế được sử dụng phổ biến.","Mô hình OSI sử dụng kiến trúc mạng ngang hàng tập trung vào việc bảo mật truyền dẫn, còn mô hình TCP/IP ứng dụng cấu trúc máy khách máy chủ chuyên phục vụ mạng chuyển mạch kênh.","C"
"Mạng lõi (Network core) trong kiến trúc mạng bao gồm các thành phần nào?","Bao gồm các hệ thống máy tính cá nhân, điện thoại thông minh và thiết bị máy chủ được đặt trực tiếp tại các hộ gia đình hoặc văn phòng làm việc của những người sử dụng Internet.","Đóng vai trò như những tuyến cáp đồng trục cục bộ có giới hạn về tốc độ giúp nối kết trực tiếp từng chiếc máy tính cá nhân với các điểm truy cập mạng không dây nằm ở khu vực lân cận.","Là phần trung tâm của hệ thống mạng bao gồm các tuyến cáp truyền dẫn tốc độ cao và những thiết bị kết nối chuyển tiếp mạnh mẽ để vận chuyển lượng lớn dữ liệu đi khắp toàn cầu.","Là các giao thức phần mềm chuyên biệt hoạt động ở tầng ứng dụng giúp mã hóa thông tin người dùng và chống lại sự xâm nhập trái phép của các tin tặc có ý đồ đánh cắp cơ sở dữ liệu.","C"
"VNNIC (Trung tâm Internet Việt Nam) đảm nhận nhiệm vụ cốt lõi gì?","Là công ty viễn thông đa quốc gia chịu trách nhiệm trực tiếp thi công lắp đặt và duy tu bảo dưỡng toàn bộ hệ thống cáp quang dưới biển kết nối trực tiếp Việt Nam với các châu lục khác.","Là cơ quan thuộc sự quản lý của nhà nước đảm nhiệm vai trò cấp phát, quản lý các tài nguyên liên quan đến địa chỉ IP và tên miền quốc gia trên không gian mạng Internet tại Việt Nam.","Là nhà cung cấp dịch vụ thông tin giải trí điện tử tổng hợp hàng đầu có chức năng kiểm duyệt nghiêm ngặt mọi luồng tin tức kinh tế chính trị trước khi chúng được đăng tải lên mạng.","Là trung tâm nghiên cứu phát triển các thuật toán trí tuệ nhân tạo chuyên sâu nhằm tự động hóa quy trình phân bổ băng thông Internet cho hàng triệu người dùng cá nhân trong giờ cao điểm.","B"
"Mạng dạng vòng (Ring Topology) có đặc trưng nào nổi bật trong thiết kế?","Là cấu trúc mạng trong đó mỗi máy tính cá nhân bắt buộc phải được nối thẳng tới một thiết bị tổng đài trung tâm chuyên điều phối mọi luồng thông tin truyền nhận trong toàn hệ thống.","Bố trí cáp thành một vòng khép kín, tín hiệu chạy theo một chiều, tiết kiệm được dây cáp nhưng tốc độ chậm và toàn mạng sẽ ngưng hoạt động nếu một đoạn cáp bị đứt đoạn giữa chừng.","Là sự kết hợp hoàn hảo giữa thiết kế mạng tuyến tính và mạng phân nhánh, cho phép dễ dàng mở rộng khoảng cách hệ thống lên đến hàng ngàn km mà không bị suy hao quá nhiều tín hiệu.","Đòi hỏi mỗi trạm làm việc phải sử dụng đến hai thẻ mạng kết nối đồng thời với tất cả các trạm còn lại, giúp hệ thống không bao giờ bị nghẽn mạng do tình trạng xung đột thông tin.","B"
"Phương thức hoạt động của mạng chuyển mạch thông báo (Message switching) là gì?","Tự động phân chia thông điệp thành các đơn vị dữ liệu giao thức cực nhỏ rồi truyền tải chúng thông qua các liên kết vật lý chuyên dụng được cung cấp cố định bởi nhà mạng sở tại.","Yêu cầu một đường dẫn truyền thông độc quyền xuyên suốt từ thiết bị phát đến thiết bị nhận phải được kiểm tra tính khả dụng trước khi cho phép hệ thống bắt đầu phiên truyền tin tức.","Dữ liệu được gửi đi dưới dạng các khối độc lập chứa địa chỉ nguồn và đích, được các nút mạng trung gian tiếp nhận, lưu trữ tạm thời trong bộ nhớ rồi mới tiến hành chuyển tiếp đi.","Hoạt động dựa trên nền tảng sóng viba không dây có chức năng điều hướng mọi gói tin ngay lập tức theo thời gian thực mà không cần sử dụng bất kỳ vùng nhớ đệm nào trên thiết bị.","C"
