"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Theo định lý về khoảng cách Hamming, để một bộ mã có khả năng SỬA được t bit lỗi, khoảng cách Hamming tối thiểu (d_min) của bộ mã đó phải thỏa mãn điều kiện nào?","d_min = t / 2","d_min = 2t - 1","d_min = t + 1","d_min = 2t + 1","D"
"Theo định lý về khoảng cách Hamming, để một bộ mã có khả năng PHÁT HIỆN được e bit lỗi (mà không cần sửa), khoảng cách Hamming tối thiểu (d_min) phải bằng bao nhiêu?","d_min = e + 1","d_min = e^2","d_min = e - 1","d_min = 2e + 1","A"
"Khoảng cách Hamming giữa hai từ mã nhị phân v1 = 10101010 và v2 = 11101110 là bao nhiêu?","Khoảng cách Hamming = 2 (Do hai từ mã này khác nhau chính xác tại 2 vị trí bit tương ứng khi làm phép XOR).","Khoảng cách Hamming = 0 (Vì cả hai chuỗi này đều có chữ số kết thúc bằng 10 nên không có khoảng cách).","Khoảng cách Hamming = 8 (Do đây là từ mã độ dài 8 bit nên khoảng cách mặc định luôn là 8).","Khoảng cách Hamming = 4 (Do tổng số lượng bit 1 của cả hai từ mã cộng lại chia đôi bằng 4).","A"
"Trong cấu trúc của mã Hamming (Hamming Code), các bit kiểm tra (Parity bits) được đặt ở những vị trí nào trong từ mã hoàn chỉnh?","Các bit kiểm tra được đặt xen kẽ cứ mỗi hai bit dữ liệu thì có một bit kiểm tra đi kèm.","Các bit kiểm tra luôn được dồn vào toàn bộ nửa cuối của gói dữ liệu để tiện cho việc trích xuất.","Các bit kiểm tra luôn được đặt tại các vị trí là lũy thừa của 2 (như vị trí 1, 2, 4, 8, 16...).","Các bit kiểm tra được đặt ngẫu nhiên do hệ thống tự sinh và báo lại vị trí trong Header.","C"
"Bài tập mã Hamming: Cần truyền một khối dữ liệu gốc gồm m = 8 bit. Số lượng bit kiểm tra (r) tối thiểu cần thêm vào để tạo thành mã Hamming hợp lệ là bao nhiêu? (Gợi ý: 2^r >= m + r + 1)","r = 4 bit (Vì 2^4 = 16 >= 8 + 4 + 1 = 13, thỏa mãn điều kiện toán học tối thiểu).","r = 8 bit (Số bit kiểm tra luôn luôn phải bằng đúng số bit dữ liệu gốc để bảo mật tuyệt đối).","r = 3 bit (Vì 2^3 = 8 >= 8 + 3 + 1 = 12, điều kiện này sai nhưng vẫn áp dụng cho cáp đồng).","r = 5 bit (Luôn phải cộng thêm một bit dư phòng hờ cho hệ thống mạng tốc độ cao).","A"
"Trong mã Hamming chẵn, bit kiểm tra p1 (ở vị trí số 1) có nhiệm vụ kiểm tra tính chẵn lẻ của các bit nằm ở vị trí nào trong từ mã?","Chỉ chịu trách nhiệm kiểm tra duy nhất bit dữ liệu nằm liền kề nó ở vị trí số 2.","Kiểm tra các vị trí bit có bước nhảy 2 bỏ 2: vị trí 2, 3, 6, 7, 10, 11...","Kiểm tra toàn bộ tất cả các bit dữ liệu nằm từ vị trí số 1 đến vị trí số 7.","Kiểm tra các vị trí bit có bước nhảy 1 bỏ 1: vị trí 1, 3, 5, 7, 9, 11...","D"
"Phép chia đa thức trong thuật toán CRC khác biệt với phép chia đại số thông thường ở điểm nào?","Nó tự động làm tròn phần dư lên số nguyên gần nhất để đồng bộ hóa với tốc độ xung nhịp của thiết bị phát.","Nó không có thao tác 'nhớ' hay 'mượn', mọi phép cộng trừ đều được thay thế bằng phép XOR nhị phân bit-to-bit.","Nó bắt buộc phải thực hiện trên các số thập phân siêu lớn nên cần những dòng CPU chuyên dụng để xử lý phần cứng.","Nó chỉ chia các bit 1 và bỏ qua hoàn toàn các bit 0 nhằm rút ngắn một nửa thời gian kiểm tra lỗi trên mạng LAN.","B"
"Cơ chế ARQ (Automatic Repeat Request) trong mạng máy tính thuộc hình thức kiểm soát lỗi nào?","Là giao thức mã hóa dữ liệu đầu cuối (End-to-End Encryption) ngăn chặn tin tặc thay đổi dữ liệu của các ngân hàng.","Là cơ chế bỏ qua lỗi (Error Ignoring) dùng riêng cho các dịch vụ truyền phát video trực tiếp nơi tốc độ quan trọng hơn dữ liệu.","Thuộc hình thức Sửa lỗi tiến (FEC), máy thu dùng các thuật toán ma trận tự động tính toán lại và sửa luôn bit sai.","Thuộc hình thức Sửa lỗi ngược (Backward Error Correction), máy thu phát hiện lỗi và yêu cầu máy phát truyền lại khung đó.","D"
"Trong các tình huống môi trường nào thì việc sử dụng cơ chế FEC (Sửa lỗi tiến) lại hiệu quả hơn so với ARQ (Truyền lại)?","Sử dụng cho hệ thống truyền tệp tin ngoại tuyến lưu trữ trên các đĩa mềm từ tính thế hệ cũ có dung lượng thấp.","Trong các mạng cục bộ (LAN) có chiều dài cáp ngắn và xác suất xảy ra lỗi cực kỳ thấp nên không cần đến việc truyền lại phức tạp.","Trong các kênh truyền có độ trễ lan truyền (Propagation delay) cực lớn (như liên kết không gian vệ tinh) nơi việc yêu cầu truyền lại mất quá nhiều thời gian.","Trong hệ thống mạng cáp quang băng thông hẹp dùng riêng cho quân đội để ngăn chặn khả năng bị nghe lén các khung tin phản hồi.","C"
"Mã khối (Block coding) khác với mã chập (Convolutional coding) ở đặc điểm hoạt động nào?","Mã khối xử lý từng khối dữ liệu k bit độc lập để tạo ra n bit từ mã, trong khi mã chập xử lý dòng bit liên tục có tính đến trạng thái quá khứ.","Mã khối hoạt động ở Lớp Ứng dụng để nén file, còn mã chập hoạt động ở Lớp Mạng để tìm đường đi cho router.","Mã khối chuyên dùng để mã hóa tín hiệu âm thanh tương tự, còn mã chập chỉ áp dụng để đóng gói các tin nhắn văn bản.","Mã khối không có khả năng phát hiện lỗi, nó chỉ hỗ trợ duy nhất chức năng sửa lỗi cho các hệ thống vệ tinh định vị.","A"
"Một mã khối tuyến tính có khoảng cách Hamming tối thiểu là d_min = 6. Hệ thống sử dụng bộ mã này có khả năng PHÁT HIỆN tối đa bao nhiêu bit lỗi và SỬA được tối đa bao nhiêu bit lỗi?","Phát hiện được 5 bit lỗi (e = d_min - 1) và sửa được 2 bit lỗi (t = phần nguyên của (d_min - 1)/2).","Phát hiện được 7 bit lỗi (e = d_min + 1) và không có khả năng sửa được bất kỳ lỗi nào.","Phát hiện được 2 bit lỗi và sửa được 5 bit lỗi (ngược lại hoàn toàn với quy luật toán học).","Phát hiện được 6 bit lỗi (e = d_min) và sửa được 3 bit lỗi (t = d_min / 2).","A"
"Điều khiển luồng (Flow Control) trong Lớp Liên kết dữ liệu có nhiệm vụ chính là gì?","Chỉ đạo bộ định tuyến tìm ra con đường ngắn nhất và ít trễ nhất để luồng dữ liệu không bị tắc nghẽn ở các nút giao thông trung tâm.","Tự động tăng cường tín hiệu điện áp trên cáp vật lý mỗi khi phát hiện luồng dữ liệu truyền đi có dấu hiệu bị suy hao mạnh.","Điều tiết tốc độ gửi dữ liệu của máy phát sao cho phù hợp với khả năng tiếp nhận và xử lý của máy thu để tránh tràn bộ đệm.","Mã hóa các khung tin theo chuẩn bảo mật đa lớp nhằm kiểm soát quyền truy cập luồng thông tin bí mật của doanh nghiệp.","C"
"Trong giao thức Dừng và Đợi (Stop-and-Wait), máy phát sẽ thực hiện hành động gì ngay sau khi truyền đi một khung dữ liệu?","Ngắt kết nối vật lý ngay lập tức để tiết kiệm điện năng cho hệ thống và chờ máy thu chủ động kết nối lại.","Phát tín hiệu Broadcast đến tất cả các trạm trong mạng để thăm dò xem có ai nhận được khung tin của mình hay không.","Tiếp tục truyền ngay khung dữ liệu kế tiếp để tận dụng tối đa băng thông mà không cần bận tâm đến phản hồi của máy thu.","Dừng phát và thiết lập bộ định thời (Timer) chờ nhận khung báo nhận (ACK) từ máy thu rồi mới tiếp tục truyền khung tiếp theo.","D"
"Hiệu suất truyền dẫn (Utilization) của giao thức Dừng và Đợi (Stop-and-Wait) sẽ BỊ GIẢM ĐI RẤT NHIỀU trong điều kiện vật lý nào?","Khi mạng lưới không có bất kỳ thiết bị định tuyến trung gian nào gây cản trở tốc độ xử lý của cả hai đầu hệ thống.","Khi đường truyền có băng thông cực lớn hoặc khoảng cách cực xa (Độ trễ lan truyền rất cao so với thời gian truyền khung).","Khi máy thu và máy phát được đặt quá sát nhau trong cùng một căn phòng và nối bằng dây cáp đồng trục siêu ngắn.","Khi dữ liệu cần gửi đi hoàn toàn là các tập tin văn bản dung lượng cực kỳ nhỏ không yêu cầu chia thành nhiều gói.","B"
"Bài tập Hiệu suất Stop-and-Wait: Kênh truyền có tốc độ C = 1 Mbps. Thời gian trễ vòng RTT = 20 ms. Kích thước khung L = 1000 bit. Bỏ qua thời gian xử lý và thời gian truyền ACK, hiệu suất U của giao thức là bao nhiêu?","U ~ 4.76% (Thời gian truyền Tt = 1ms. Tổng thời gian 1 khung = Tt + RTT = 21ms. Hiệu suất = 1 / 21 = 4.76%).","U ~ 100% (Do tốc độ cáp lên tới 1 Mbps nên giao thức này có thể lấp đầy băng thông ngay lập tức).","U ~ 50.0% (Máy phát dành một nửa thời gian để phát và một nửa thời gian để đợi nên hiệu suất luôn bằng 50%).","U ~ 95.2% (Hệ thống cực kỳ tối ưu vì kích thước khung nhỏ giúp tiết kiệm đáng kể thời gian truyền tải).","A"
"Khái niệm Cửa sổ trượt (Sliding Window) ra đời nhằm khắc phục nhược điểm gì của giao thức Stop-and-Wait?","Khắc phục sự xâm nhập trái phép của tin tặc bằng cơ chế mã hóa cửa sổ trượt vòng các từ khóa bảo mật nội bộ.","Khắc phục sự lãng phí đường truyền bằng cách cho phép máy phát gửi liên tiếp nhiều khung dữ liệu trước khi cần nhận ACK phản hồi.","Khắc phục việc bộ nhớ đệm của máy thu bị tràn do máy phát liên tục ép buộc máy thu phải tiếp nhận các tệp tin khổng lồ.","Khắc phục tình trạng xung đột tín hiệu vật lý khi hai máy tính cùng cố gắng chiếm đoạt kênh truyền cáp quang học cùng một lúc.","B"
"Trong các giao thức ARQ, bộ định thời (Timer) ở máy phát có vai trò xử lý tình huống lỗi nào?","Giới hạn khoảng thời gian tối đa mà tin tặc có thể đánh cắp dữ liệu để hệ thống tự động ngắt kết nối vật lý bảo vệ máy chủ.","Xử lý tình huống khung dữ liệu bị mất tích trên đường đi hoặc khung phản hồi ACK của máy thu bị mất (Time-out sẽ kích hoạt truyền lại).","Đếm ngược thời gian từ lúc máy khởi động đến lúc phải bảo trì định kỳ các thiết bị chuyển mạch trung tâm của ISP.","Xử lý tình huống máy thu tính toán sai mã CRC bằng cách cung cấp cho máy thu thêm thời gian để phân tích kỹ lưỡng gói tin.","B"
"Trong giao thức Go-Back-N ARQ, nếu máy thu phát hiện khung số 3 bị lỗi (trong khi đã nhận đúng khung 0, 1, 2) nhưng máy phát vẫn tiếp tục gửi khung 4 và 5, máy thu sẽ làm gì với khung 4 và 5?","Máy thu sẽ lập tức HỦY BỎ (Discard) các khung 4 và 5 vì chúng đến không đúng thứ tự tuần tự mong đợi.","Máy thu sẽ gửi khung ACK 5 để lừa máy phát rằng toàn bộ chuỗi dữ liệu đã được nhận an toàn không có lỗi.","Máy thu sẽ LƯU TRỮ TẠM các khung 4 và 5 vào bộ nhớ đệm và đợi máy phát chỉ gửi lại duy nhất khung số 3.","Máy thu sẽ chủ động SỬA LỖI khung 3 dựa vào các thông tin tham chiếu chéo lấy từ khung số 4 và khung số 5.","A"
"Trong giao thức Go-Back-N ARQ, kích thước lớn nhất cho phép của cửa sổ phát (W_send) tính theo số bit của thứ tự khung (m bit) là bao nhiêu?","W_send = 2^m + 1","W_send = 2^(m-1)","W_send = 2^m","W_send = 2^m - 1","D"
"Vì sao trong giao thức Go-Back-N ARQ (với m bit số thứ tự), kích thước cửa sổ phát KHÔNG ĐƯỢC PHÉP bằng 2^m?","Vì thuật toán tính toán mã CRC sẽ bị tràn bộ đệm gây lỗi toán học nghiêm trọng làm sập hệ điều hành của máy thu.","Vì hệ thống phần cứng của các máy chủ định tuyến chỉ được thiết kế bộ nhớ đệm tối đa giới hạn ở mức 2^m - 1 frame.","Vì việc sử dụng hết số thứ tự sẽ làm tăng độ trễ lan truyền RTT lên gấp đôi, gây tắc nghẽn giao thông cáp quang.","Vì nếu W = 2^m, khi toàn bộ các ACK của một cửa sổ bị mất, máy phát truyền lại toàn bộ nhưng máy thu sẽ tưởng nhầm đó là các khung của cửa sổ MỚI do số thứ tự bị trùng lặp.","D"
"Giao thức Selective-Repeat ARQ (Phát lại có chọn lọc) khác biệt cốt lõi như thế nào so với Go-Back-N ARQ khi xảy ra lỗi một khung ở giữa?","Máy thu lập tức ngắt toàn bộ liên kết mạng và yêu cầu máy phát thiết lập lại một phiên giao dịch hoàn toàn mới từ đầu.","Máy phát bắt buộc phải lui lại và truyền lại toàn bộ các khung tính từ vị trí khung bị lỗi cho đến khung cuối cùng đã phát.","Máy thu sẽ tự động áp dụng mã Hamming để sửa khung bị lỗi mà không bao giờ báo cho máy phát biết sự cố này.","Máy phát CHỈ truyền lại duy nhất khung bị lỗi (hoặc mất) đó, các khung khác đã gửi đúng sẽ không phải truyền lại.","D"
"Trong giao thức Selective-Repeat ARQ, kích thước lớn nhất của cửa sổ phát và cửa sổ thu (W) với m bit số thứ tự là bao nhiêu?","W = 2^m - 1 (Kích thước này là đặc trưng riêng biệt của giao thức Go-Back-N).","W = 2^m (Sử dụng toàn bộ không gian biến biến để tối đa hóa hiệu suất băng thông vệ tinh).","W = m^2 (Kích thước cửa sổ thay đổi theo hàm số mũ phụ thuộc vào số lượng router dọc đường).","W = 2^(m-1) (Kích thước cửa sổ phát và thu bằng nhau và bằng một nửa không gian số thứ tự tối đa).","D"
"Giao thức Selective-Repeat ARQ ưu việt hơn Go-Back-N ở điểm nào nhưng lại có nhược điểm gì đi kèm?","Giúp bảo mật dữ liệu cấp độ quân sự nhờ việc truyền lộn xộn các khung, nhưng lại làm các ứng dụng web thông thường không thể chạy được.","Khả năng sửa lỗi trực tiếp trên mọi đường truyền nhưng bắt buộc phải có hệ thống cáp đồng trục kép đắt tiền hỗ trợ.","Hoàn toàn không tốn bất kỳ tài nguyên phần cứng nào nhưng tốc độ truyền tải luôn bị kìm hãm ở mức dưới 1 Mbps.","Tiết kiệm băng thông vì không phải truyền lại các khung đúng, nhưng yêu cầu máy thu phải có bộ đệm phức tạp để lưu và sắp xếp các khung đến sai thứ tự.","D"
"Kỹ thuật Piggybacking (Cõng dữ liệu) trong giao tiếp song công (Full-duplex) mang lại lợi ích thực tế nào?","Cho phép một khung dữ liệu có thể mang theo nhiều đoạn mã độc ẩn mình qua mặt hệ thống kiểm tra an ninh của nhà mạng.","Ép buộc nhiều khung tin nhỏ bé phải kết hợp lại thành một khung khổng lồ để tương thích với các máy chủ cấu hình đời cũ.","Sử dụng chung một kênh truyền đơn công để vừa gửi vừa nhận tín hiệu bằng cách thay đổi tần số liên tục theo chu kỳ mili-giây.","Máy B có thể đính kèm thông tin báo nhận ACK vào ngay trong khung dữ liệu mà máy B đang chuẩn bị gửi cho máy A để tiết kiệm băng thông.","D"
"Khung NAK (Negative Acknowledgment) hoặc REJ (Reject) được sử dụng trong các giao thức ARQ với mục đích gì?","Để xác nhận rằng máy thu đã nhận được toàn bộ dữ liệu an toàn và yêu cầu máy phát tiến hành đóng luồng kết nối mạng.","Để cảnh báo máy phát rằng bộ đệm của máy thu đang bị trống và yêu cầu máy phát tăng gấp đôi tốc độ phát sóng dữ liệu.","Để kích hoạt quá trình tự động định tuyến lại của các thiết bị Switch trung gian khi phát hiện đứt cáp quang trên biển.","Để thông báo rõ ràng cho máy phát biết rằng một khung cụ thể đã bị lỗi (hoặc mất) và yêu cầu máy phát truyền lại khung đó ngay.","D"
"HDLC (High-level Data Link Control) là một giao thức liên kết dữ liệu. Nó hỗ trợ chế độ giao tiếp NRM (Normal Response Mode) có cấu trúc tổ chức trạm như thế nào?","Chỉ dành riêng cho các mạng ngang hàng (Peer-to-peer) quy mô khổng lồ trên nền tảng điện toán đám mây quốc tế.","Yêu cầu mọi kết nối phải được thiết lập theo vòng tròn khép kín, trong đó dữ liệu chỉ đi theo một chiều duy nhất qua từng trạm.","Tất cả các trạm tham gia đều hoàn toàn bình đẳng với nhau, bất kỳ trạm nào cũng có thể khởi tạo phiên truyền tải không cần xin phép.","Bao gồm một trạm Sơ cấp (Primary) đóng vai trò trung tâm điều khiển nhiều trạm Thứ cấp (Secondary) trong cấu trúc không cân bằng.","D"
"Trong kiến trúc của giao thức HDLC, khung I (Information frame - Khung thông tin) có nhiệm vụ cốt lõi là gì?","Dùng để vận chuyển dữ liệu của người dùng cuối và có thể kết hợp (piggybacking) các thông tin điều khiển báo nhận ACK.","Dùng riêng biệt cho mục đích thiết lập các kết nối ban đầu, ngắt kết nối và báo cáo các lỗi cấu hình mạng nghiêm trọng.","Chuyên dùng để điều khiển và quản lý luồng dữ liệu (Flow control) như gửi các lệnh báo nhận, từ chối khung bị lỗi.","Đóng vai trò như các cờ đánh dấu phân cách để đồng bộ hóa nhịp độ giữa các hệ thống máy chủ cung cấp băng thông.","A"
"Khung U (Unnumbered frame - Khung không đánh số) trong HDLC thường được ưu tiên sử dụng vào công việc gì?","Trực tiếp chứa đựng phần lớn nội dung video đa phương tiện của các ứng dụng mạng xã hội do nó không bị giới hạn kích cỡ.","Sử dụng liên tục trong quá trình truyền dữ liệu lớn để tránh việc hết số thứ tự của các biến bộ đếm trên phần cứng.","Dùng để quản lý các phiên liên kết: thiết lập kết nối logic, giải phóng kết nối và xử lý các tình huống lỗi không phục hồi được.","Định tuyến luồng giao thông mạng giữa nhiều quốc gia khác nhau mà không cần công khai dải địa chỉ IP thực của người dùng.","C"
"Để đồng bộ hóa khung dữ liệu và đánh dấu điểm bắt đầu / kết thúc của một khung, giao thức HDLC sử dụng chuỗi bit cờ (Flag) đặc biệt nào?","Sử dụng hai ký tự mã ASCII 'STX' (Start of Text) và 'ETX' (End of Text) như trong giao thức UART cổ điển.","Sử dụng chuỗi cờ 8 bit đặc biệt: 01111110 (một bit 0, sáu bit 1, một bit 0).","Sử dụng chuỗi cờ 8 bit đặc biệt: 10101010 (luân phiên bit 1 và 0 để máy thu dễ đồng bộ xung nhịp).","Sử dụng chuỗi cờ 16 bit toàn số 1 (1111111111111111) để kích hoạt mức điện áp cao nhất trên cáp.","B"
"Kỹ thuật Chèn bit (Bit stuffing) trong HDLC được sinh ra nhằm mục đích giải quyết bài toán gì?","Thêm các bit tự động sửa lỗi theo chuẩn mã Hamming vào cuối mỗi đoạn 8 byte dữ liệu để đề phòng nhiễu xuyên âm.","Đảm bảo chuỗi bit cờ 01111110 không bao giờ vô tình xuất hiện bên trong phần dữ liệu người dùng (bằng cách chèn thêm bit 0 sau 5 bit 1 liên tiếp).","Bơm thêm các bit vô nghĩa vào các khoảng thời gian trống của kênh truyền nhằm duy trì tín hiệu liên tục để máy thu không bị ngủ đông.","Nhồi nhét thật nhiều bit dữ liệu vào chung một khung nhằm tăng cường tối đa hiệu suất thông lượng tải trọng qua mạng.","B"
