"Câu hỏi","Đáp án A","Đáp án B","Đáp án C","Đáp án D","Đáp án đúng"
"Nhiễu xuyên kênh (Crosstalk) trong truyền dẫn tín hiệu xuất hiện do tác động vật lý nào?","Môi trường chân không trên các trạm vệ tinh địa tĩnh làm suy hao hoàn toàn sóng mang trước khi đến trạm thu.","Tín hiệu từ một đường truyền này sinh ra bức xạ điện từ và ảnh hưởng trực tiếp sang các đường truyền lân cận.","Sự suy giảm dần của cường độ tín hiệu gốc do điện trở kim loại khi khoảng cách truyền dẫn địa lý quá dài.","Bộ phát của thiết bị mạng sinh ra nguồn điện một chiều lớn gây nhiễu loạn trên cùng một lõi dây cáp đồng trục.","B"
"Tác động của nhiễu xung (Impulse noise) lên quá trình trao đổi dữ liệu số nguy hiểm như thế nào?","Tạo ra các sóng phản xạ dội ngược lại từ thiết bị nhận khiến tốc độ truyền tín hiệu quang bị giảm xuống còn một nửa.","Làm giảm biên độ của toàn bộ hệ thống sóng mang liên tục trong nhiều giờ liền, gây mất kết nối mạng trên diện rộng.","Gây ra hiện tượng méo dạng trễ lan truyền khiến gói tin sau đến trạm nhận sớm hơn gói tin trước một cách ngẫu nhiên.","Là các xung có cường độ cao, thời gian ngắn (như sét đánh), làm sai lệch hàng loạt bit dữ liệu khi truyền tốc độ cao.","D"
"Sóng vô tuyến ở băng tần HF (High Frequency, 3MHz - 30MHz) chủ yếu truyền theo hình thức nào?","Truyền sóng lan theo bề mặt trái đất (Surface propagation), lợi dụng độ ẩm của đại dương để khuếch đại cường độ sóng.","Truyền sóng không gian và tầm nhìn thẳng (Line-of-sight), yêu cầu hai ăng-ten phải nhìn thấy nhau không có vật cản.","Truyền sóng xuyên thấu qua mọi tầng khí quyển để kết nối trực tiếp với hệ thống vệ tinh định vị toàn cầu GPS ngoài vũ trụ.","Truyền sóng qua tầng điện ly (Ionospheric propagation), sóng đập vào tầng điện ly rồi phản xạ ngược trở lại mặt đất.","D"
"Trong môi trường truyền sóng điện từ vô tuyến, mối liên hệ giữa vận tốc ánh sáng (c), bước sóng (λ) và tần số (f) là gì?","c = λ * f (Bước sóng tỉ lệ nghịch với tần số sóng)","c = λ / f (Vận tốc ánh sáng bằng bước sóng chia tần số)","f = c * λ (Tần số sóng tỉ lệ thuận với bước sóng)","λ = c * f (Bước sóng tỉ lệ thuận với tần số sóng)","A"
"Đặc trưng khác biệt cơ bản giữa kỹ thuật truyền dẫn Baseband và Broadband trên cáp là gì?","Baseband chia nhỏ thời gian truyền cho các thiết bị không dây, Broadband nén tín hiệu hình ảnh để truyền hình trực tiếp lên vệ tinh.","Baseband được dùng độc quyền trên cáp quang xuyên biển, Broadband chỉ giới hạn sử dụng cho hệ thống dây cáp đồng trục cũ kỹ.","Baseband dùng toàn bộ băng thông cho một tín hiệu số duy nhất, Broadband dùng phương pháp chia tần số cho nhiều tín hiệu tương tự.","Baseband phát tín hiệu đi rất xa với khả năng chống nhiễu tuyệt đối, Broadband chỉ truyền được ở khoảng cách dưới mười mét.","C"
"Trong mạng truyền thông, mục đích chính của việc Mã hóa số - số (Digital-to-Digital Encoding) là gì?","Chuyển đổi tín hiệu giọng nói liên tục của con người thành các tệp tin kỹ thuật số lưu trữ trên hệ thống máy chủ đám mây.","Biểu diễn các chuỗi dữ liệu nhị phân (bit 0, 1) bằng các mức điện áp xung số phù hợp để truyền tải qua đường dây.","Nén dữ liệu hình ảnh, video xuống kích thước nhỏ nhất nhằm tiết kiệm băng thông cáp quang trước khi đưa lên mạng.","Giấu kín nội dung thông điệp người dùng thông qua các thuật toán mã hóa khóa công khai nhằm bảo vệ an ninh mạng.","B"
"Kỹ thuật mã hóa Đơn cực (Unipolar) hoạt động dựa trên phương pháp gán mức điện áp như thế nào?","Dùng mức điện áp +5V để biểu diễn bit 0 và liên tục đảo ngược điện áp để biểu diễn bit 1 ở giữa mỗi chu kỳ truyền.","Dùng ba mức điện áp luân phiên: cực dương, cực âm và mức không volt để tự động phát hiện và sửa các bit lỗi trên cáp.","Dùng một mức điện áp (như +5V) để biểu diễn bit 1 và mức điện áp 0V để biểu diễn bit 0 trong suốt một chu kỳ bit.","Dùng điện áp dương cho nửa chu kỳ đầu của bit và điện áp âm cho nửa chu kỳ sau để duy trì mức năng lượng trung bình.","C"
"Vì sao mã hóa Đơn cực (Unipolar) lại có nhược điểm lớn khi xuất hiện chuỗi bit 1 hoặc chuỗi bit 0 liên tiếp kéo dài?","Mức điện áp 0V kéo dài kích hoạt cơ chế ngắt tự động của bộ định tuyến làm cho phiên truyền dẫn bị hủy bỏ hoàn toàn giữa chừng.","Không có sự biến đổi điện áp trên đường dây nên máy thu khó xác định chu kỳ bit để đồng bộ hóa, và tạo ra thành phần DC dư thừa.","Tần số xung thay đổi quá nhanh khiến phổ tín hiệu tràn sang các dải tần số của những hệ thống vô tuyến lân cận tạo ra nhiễu xuyên âm.","Điện áp liên tục tăng cao làm cho nhiệt độ lõi cáp đồng nóng lên vượt mức cho phép, gây hỏng hóc các thiết bị chuyển mạch trung tâm.","B"
"Trong kỹ thuật mã cực Polar NRZ-L (Non-Return to Zero - Level), chuỗi dữ liệu được biểu diễn như thế nào?","Bit 1 được gán giá trị điện áp dương (+V), bit 0 được biểu diễn bằng hiện tượng đảo chiều điện áp ở đầu mỗi chu kỳ bit truyền.","Bit 0 và bit 1 đều mang điện áp bằng 0V, sự phân biệt nằm ở tần số xung nhịp do đồng hồ bên trong thiết bị phát sinh ra.","Bit 0 được gán với điện áp dương (+V) và bit 1 được gán với điện áp âm (-V), tín hiệu không trở về mức zero ở giữa chu kỳ.","Tín hiệu sẽ bắt đầu ở cực âm, rồi sau đó tăng dần biên độ tỷ lệ thuận với số lượng bit 1 xuất hiện trong chuỗi gói tin mạng.","C"
"Nguyên tắc chuyển đổi tín hiệu trong mã hóa NRZ-I (Non-Return to Zero - Invert) là gì?","Luôn luôn đảo chiều điện áp ở điểm giữa của mỗi chu kỳ bit bất kể đó là bit 0 hay bit 1 để đồng bộ hóa máy thu.","Khi gặp bit 0 thì bắt buộc điện áp phải giảm về mức 0 Volt, khi gặp bit 1 thì đẩy điện áp lên mức cực đại cho phép.","Bỏ qua các bit 0 và chỉ truyền đi các bit 1 dưới dạng xung ánh sáng nhằm tăng cường tốc độ lan truyền của tín hiệu quang.","Khi gặp bit 1 thì đảo ngược cực tính điện áp trước đó, khi gặp bit 0 thì giữ nguyên cực tính điện áp hiện tại.","D"
"Một chuỗi dữ liệu nhị phân 1 0 1 1 được mã hóa theo phương pháp NRZ-I. Giả sử mức điện áp ngay trước khi truyền chuỗi này đang ở mức DƯƠNG (+V). Mức điện áp tuần tự của 4 bit này sẽ là gì?","Âm, Dương, Âm, Dương (-V, +V, -V, +V)","Dương, Âm, Âm, Dương (+V, -V, -V, +V)","Dương, Dương, Âm, Âm (+V, +V, -V, -V)","Âm, Âm, Dương, Âm (-V, -V, +V, -V)","D"
"Nhược điểm phổ biến của cả kỹ thuật mã hóa NRZ-L và NRZ-I là gì?","Cả hai phương pháp này đều yêu cầu băng thông cáp cực lớn, gấp bốn lần so với các kỹ thuật điều chế pha cơ bản.","Cả hai đều có nguy cơ mất đồng bộ do thiếu sự chuyển đổi trạng thái khi gặp chuỗi các bit giống nhau kéo dài (chuỗi 0 với NRZ-I).","Việc sử dụng quá nhiều mức điện áp (đến năm mức) làm cho các bộ vi xử lý mạng trở nên phức tạp và dễ bị hỏng hóc.","Chúng yêu cầu phải có một mạng lưới vệ tinh quân sự để cung cấp đồng hồ định thời chuẩn nhằm tránh sai số dữ liệu.","B"
"Kỹ thuật mã hóa RZ (Return to Zero) giúp giải quyết bài toán đồng bộ cho máy thu bằng cơ chế nào?","Tín hiệu tự động tăng gấp đôi mức điện áp cực đại sau mỗi mười giây truyền tải để báo hiệu cho máy thu biết kết thúc một chu kỳ truyền.","Tách biệt dòng dữ liệu và dòng xung nhịp ra làm hai dây cáp đồng hoàn toàn độc lập, từ đó giải quyết triệt để mọi lỗi xung đột giao thông.","Chèn thêm một khối dữ liệu kiểm tra chẵn lẻ ở cuối mỗi gói tin để máy thu tính toán lại toàn bộ quãng thời gian mà chuỗi bit đã truyền.","Tín hiệu luôn luôn trở về mức 0 Volt ở nửa sau của mọi chu kỳ bit, tạo ra sự chuyển đổi mức điện áp bắt buộc để máy thu tự canh nhịp.","D"
"Phương pháp mã hóa Manchester (thuộc họ Biphase) là sự kết hợp của những kỹ thuật nào nhằm mang lại hiệu quả đồng bộ?","Là biến thể của mã HDB3 Bắc Mỹ kết hợp với quy tắc bù một tự động của hệ thống phần cứng kiểm tra tính toán tổng kiểm Checksum.","Là sự kết hợp hoàn hảo giữa phương pháp điều chế tần số sóng mang analog (FM) và kỹ thuật chuyển mạch gói của mạng Internet lõi.","Là sự kết hợp ưu điểm của mã RZ (có chuyển mức giữa chu kỳ bit) và mã NRZ-L (chia đôi các pha đối nghịch cho bit 0 và bit 1).","Là sự nâng cấp từ phương pháp mã hóa Đơn cực (Unipolar) bằng cách cộng dồn năng lượng của nhiều xung điện nhỏ liên tiếp nhau.","C"
"Trong mã hóa Manchester, nguyên tắc biểu diễn hai bit nhị phân cơ bản được thực hiện như thế nào?","Bit 0 giữ nguyên mức điện áp không Volt suốt toàn bộ chu kỳ; Bit 1 luân phiên đổi cực từ Dương sang Âm sau mỗi lần xuất hiện trên kênh.","Bit 0 được mã hóa thành tín hiệu sóng sin có tần số thấp, còn bit 1 được mã hóa thành sóng sin có tần số cao gấp đôi so với chu kỳ bit 0.","Cả hai bit đều bắt đầu bằng cực Âm, nhưng bit 1 sẽ tăng lên cực Dương nhanh hơn bit 0 trong một phần tư thời gian chu kỳ xung nhịp.","Bit 0 chuyển điện áp từ Dương (+V) sang Âm (-V) ở giữa chu kỳ; Bit 1 chuyển điện áp từ Âm (-V) sang Dương (+V) ở giữa chu kỳ.","D"
"Đặc điểm khác biệt trong cơ chế hoạt động của mã hóa Manchester Vi Sai (Differential Manchester) so với mã Manchester chuẩn là gì?","Nó chỉ đổi cực tính một lần duy nhất vào thời điểm cuối cùng của gói dữ liệu, từ đó làm giảm tối đa nguy cơ nhiễu xuyên kênh vật lý trên dây đồng.","Mã vi sai loại bỏ hoàn toàn sự chuyển đổi trạng thái ở giữa chu kỳ bit, chuyển giao trách nhiệm đồng bộ hóa nhịp cho các thiết bị định tuyến bên ngoài.","Nó quyết định cực tính dựa trên sự ĐẢO CHIỀU ở đầu chu kỳ (nếu là bit 0) hay KHÔNG ĐẢO CHIỀU ở đầu chu kỳ (nếu là bit 1), và luôn đổi cực ở giữa.","Nó sử dụng đến bốn mức điện áp khác nhau để nén cùng lúc hai bit dữ liệu vào chung một chu kỳ nhằm gia tăng gấp đôi băng thông thực tế.","C"
"Kỹ thuật mã hóa Hai cực AMI (Alternate Mark Inversion) biểu diễn chuỗi nhị phân theo nguyên tắc nào?","Bit 0 làm thay đổi tần số dao động; Bit 1 chỉ thay đổi góc pha ban đầu của luồng tín hiệu gốc.","Chèn thêm một bit dư thứ chín vào sau mỗi byte dữ liệu để duy trì trạng thái điện áp 0 Volt liên tục.","Bit 0 là điện áp 0 Volt; Bit 1 sử dụng điện áp +V hoặc -V luân phiên nhau cho mỗi lần xuất hiện.","Bit 0 luôn là điện áp dương (+V); Bit 1 luôn là điện áp âm (-V) bất kể chúng xuất hiện thứ tự ra sao.","C"
"Cho chuỗi dữ liệu 0 1 1 0 được mã hóa bằng kỹ thuật AMI. Giả sử bit 1 gần nhất trước đó đã sử dụng mức điện áp Âm (-V). Trạng thái điện áp tuần tự của chuỗi này sẽ là gì?","0V, Âm, Dương, 0V (0, -V, +V, 0)","0V, Dương, Âm, 0V (0, +V, -V, 0)","Âm, Dương, Dương, Âm (-V, +V, +V, -V)","Dương, 0V, 0V, Âm (+V, 0, 0, -V)","B"
"Theo kỹ thuật B8ZS (Bipolar 8-Zero Substitution), nếu xuất hiện chuỗi 8 bit 0 liên tiếp và bit 1 trước đó có cực tính ÂM (-V), thì 8 bit này sẽ được thay thế bằng dạng xung điện áp nào?","Thay bằng chuỗi mã: + 0 0 0 + - 0 -","Thay bằng chuỗi mã: - - + + 0 0 0 0","Thay bằng chuỗi mã: - 0 0 0 - + 0 +","Thay bằng chuỗi mã: 0 0 0 0 0 0 0 0","C"
"Kỹ thuật HDB3 (High-Density Bipolar 3) thay thế chuỗi 4 bit 0 liên tiếp bằng các dạng vi phạm quy luật AMI dựa vào tiêu chí chính nào?","Dựa vào tốc độ xung nhịp hiện tại của máy phát để tự động cắt bỏ hoàn toàn các chuỗi bit 0 gây nhiễu, làm ngắn chiều dài chuỗi truyền.","Căn cứ vào độ nhiễu suy hao đo được trên cáp đồng trục để chuyển đổi ngay lập tức sang phương thức phát sóng không dây tầm ngắn.","Dựa vào số lượng bit 1 xuất hiện tính từ lần thay thế gần nhất trước đó là số chẵn hay số lẻ để tạo mẫu thay thế (vd: +000+ hoặc +-00-).","Phụ thuộc vào tổng số bit lỗi được phát hiện qua thuật toán CRC ở cuối gói dữ liệu để kích hoạt cơ chế bù trừ điện áp từ nguồn ngoài.","C"
"Mục đích thiết yếu nhất của việc phát triển các biến thể mã hóa B8ZS và HDB3 từ mã gốc AMI là để giải quyết vấn đề gì?","Triệt tiêu dòng điện một chiều DC sinh ra bởi các bit 1 liên tiếp, nguyên nhân chính gây nóng cáp viễn thông chôn dưới lòng đất.","Nhân đôi khả năng cung cấp băng thông cho các trạm phát sóng Wi-Fi nhằm hỗ trợ hàng nghìn thiết bị đầu cuối kết nối mạng cùng lúc.","Tạo ra khả năng tương thích ngược hoàn toàn với hệ thống truyền hình cáp analog đang được khai thác thương mại tại khu vực châu Âu.","Khắc phục nhược điểm mất đồng bộ của bộ thu (do điện áp 0V kéo dài) khi đường truyền xuất hiện các chuỗi bit 0 liên tiếp quá dài.","D"
"Trong việc rời rạc hóa tín hiệu tương tự sang số, Định lý lấy mẫu Nyquist quy định tốc độ lấy mẫu (fs) phải đảm bảo yếu tố nào so với tần số cao nhất của tín hiệu (fmax)?","Tốc độ lấy mẫu (fs) phải luôn nhỏ hơn bình phương tần số cao nhất nhằm tiết kiệm tối đa dung lượng bộ nhớ.","Tốc độ lấy mẫu (fs) phải lớn hơn hoặc bằng hai lần tần số cao nhất của tín hiệu (fs >= 2 * fmax).","Tốc độ lấy mẫu (fs) chỉ cần đạt mức xấp xỉ bằng một phần tư so với băng thông khả dụng của đường truyền mạng.","Tốc độ lấy mẫu (fs) bị giới hạn vĩnh viễn ở mức 10 KHz bất kể tần số cực đại của tín hiệu âm thanh có lớn đến mức nào.","B"
"Trong quy trình Điều chế xung mã PCM (Pulse Code Modulation), chức năng chính của bước Lượng tử hóa (Quantization) là gì?","Khuếch đại biên độ tín hiệu lên mức cao nhất có thể nhằm duy trì tốc độ Baud ổn định bất chấp sự suy hao nghiêm trọng do cáp hỏng.","Gán các giá trị biên độ rời rạc bất kỳ của tín hiệu PAM vừa lấy mẫu về một trong các mức điện áp nguyên đã được định sẵn theo chuẩn.","Chuyển đổi trực tiếp các dải xung ánh sáng nằm bên trong lõi cáp quang thành hàng loạt sóng âm thanh tương tự để máy in có thể đọc được.","Phân tích tần số vô tuyến thành các luồng mã độc lập nhằm mã hóa song song cho nhiều đài phát thanh kỹ thuật số chạy cùng một lúc.","B"
"Cần số hóa một tín hiệu thoại có tần số tối đa là 4 KHz bằng hệ thống PCM. Với mỗi mẫu lượng tử được mã hóa bằng 8 bit, tốc độ bit (Bit rate) yêu cầu của kênh thoại này là bao nhiêu?","Tốc độ lấy mẫu là 8000 mẫu/giây; Tốc độ bit = 8000 / 8 = 1.000 bps (1 Kbps).","Tốc độ lấy mẫu là 8000 mẫu/giây; Tốc độ bit = 8000 x 8 = 64.000 bps (64 Kbps).","Tốc độ lấy mẫu là 2000 mẫu/giây; Tốc độ bit = 2000 x 8 = 16.000 bps (16 Kbps).","Tốc độ lấy mẫu là 4000 mẫu/giây; Tốc độ bit = 4000 x 8 = 32.000 bps (32 Kbps).","B"
"Một nguồn tín hiệu tương tự có phổ dải tần từ 1 KHz đến 6 KHz. Dựa theo định lý Nyquist, tần số lấy mẫu tối thiểu cần thiết để số hóa hoàn toàn tín hiệu mà không làm mất thông tin là bao nhiêu?","Tần số cực đại là 6 KHz, kết hợp tần số nhỏ nhất 1 KHz, cần lấy mẫu tối thiểu 7.000 Hz.","Dựa theo quy định thông tin liên lạc, tần số tối thiểu phải luôn luôn mặc định là 8.000 Hz.","Tần số cực đại là 6 KHz, do đó tần số lấy mẫu tối thiểu phải là 12.000 Hz (12 KHz).","Dải băng thông là 5 KHz, do đó tần số lấy mẫu tối thiểu phải đạt mức 5.000 Hz (5 KHz).","C"
"Quá trình Mã hóa số - tương tự (Điều chế số) mang lại vai trò cốt yếu nào trong mạng máy tính?","Biến đổi thông tin từ dạng bit số (0, 1) sang dạng tín hiệu sóng mang analog để truyền tải qua đường vô tuyến hoặc cáp điện thoại.","Ngăn chặn tình trạng nhiễu tín hiệu chéo giữa các sợi quang học hoạt động cùng một tần số trong đường ống cáp quang xuyên lục địa.","Đảo ngược quy trình lượng tử hóa âm thanh, biến các luồng giọng nói thành chuỗi xung nhịp độc lập lưu trữ trên bộ nhớ máy tính.","Chỉ nhằm mục đích nén dữ liệu video chất lượng cao thành các gói tin nhỏ nhất trước khi gửi vào hệ thống cáp đồng trục văn phòng.","A"
"Kỹ thuật Điều chế biên độ số ASK (Amplitude Shift Keying) thực hiện nhúng dữ liệu vào sóng mang như thế nào?","Điều chỉnh độ lệch pha liên tục ở giữa mỗi chu kỳ truyền của sóng mang để tạo ra hàng loạt trạng thái bit hoàn toàn khác biệt nhau.","Nâng cao tần số của sóng mang thêm 20 KHz mỗi khi gặp bit 1 và giảm tần số đi 10 KHz mỗi khi cần mã hóa bit 0 nhằm tạo độ tương phản.","Thay đổi mức biên độ của tín hiệu sóng mang để đại diện cho các bit 1 và 0, trong khi tần số và góc pha của sóng mang vẫn giữ cố định.","Gộp ba mức điện áp Dương, Âm và 0 Volt vào làm một rồi đồng loạt phát lên hệ thống vệ tinh địa tĩnh mà không cần quan tâm đến góc pha.","C"
"Trong hệ thống truyền dẫn điều chế, khái niệm Tốc độ Baud (Baud rate) được diễn giải ra sao?","Là phép đo thời gian cần thiết để hệ thống phát thực hiện quá trình khởi tạo một liên kết logic bảo mật thông qua hàng loạt bộ định tuyến.","Là dung lượng dữ liệu tính bằng Megabyte (MB) mà hệ thống máy chủ mạng cung cấp cho khách hàng tải xuống trong một khoảng thời gian.","Là số lượng đơn vị tín hiệu (tín hiệu sóng mang chứa thông tin) được phát đi qua môi trường truyền thông trong thời gian một giây.","Là khoảng cách tính bằng Kilomet mà một xung điện từ có thể di chuyển trên hệ thống cáp xoắn đôi trước khi bị suy giảm và biến mất.","C"
"Một modem truyền dẫn sử dụng kỹ thuật điều chế 8-QAM. Nếu máy đo hiển thị tốc độ Baud là 1200 baud/s, thì Tốc độ bit (Bit rate) thực tế mà khách hàng đang nhận là bao nhiêu?","Vì 8-QAM mang 8 bit cho mỗi baud, Tốc độ bit = 1200 x 8 = 9600 bps.","Băng thông bị nén xuống còn một nửa, Tốc độ bit = 1200 / 2 = 600 bps.","Vì 8-QAM mang log2(8) = 3 bit/baud, Tốc độ bit = 1200 x 3 = 3600 bps.","Vì 8-QAM chia băng thông làm 8 phần, Tốc độ bit = 1200 / 8 = 150 bps.","C"
"Cho một hệ thống truyền thông đạt Tốc độ bit là 9600 bps. Hệ thống này sử dụng điều chế 16-QAM (mang 4 bit trên mỗi đơn vị tín hiệu). Tốc độ Baud của hệ thống là bao nhiêu?","Tốc độ Baud = 9600 / 4 = 2400 baud/s.","Tốc độ Baud = 9600 / 16 = 600 baud/s.","Tốc độ Baud = 9600 x 4 = 38400 baud/s.","Tốc độ Baud = 9600 x 16 = 153600 baud/s.","A"
"Đặc trưng cốt lõi của phương pháp Điều chế tần số số FSK (Frequency Shift Keying) là gì?","Tần số của sóng mang thay đổi (ví dụ f1 cho bit 0 và f2 cho bit 1) để biểu diễn dữ liệu, trong khi biên độ và góc pha hoàn toàn không đổi.","Tín hiệu gốc được phân mảnh thành nhiều gói nhỏ, mỗi gói được gán một góc pha ảo rồi được phân phối cho các bộ định tuyến cục bộ.","Biên độ của sóng mang được nhân lên gấp đôi mỗi khi thiết bị gặp bit 1 và bị triệt tiêu hoàn toàn xuống mức 0 Volt mỗi khi gặp bit 0.","Áp dụng thuật toán mã hóa vi sai nhằm đảo cực của sóng mang gốc mỗi mười mili-giây liên tục để tránh trường hợp mất đồng bộ vật lý.","A"
"Trong phương pháp Điều chế pha số PSK (Phase Shift Keying), chuỗi dữ liệu nhị phân được biểu diễn thông qua thuộc tính nào của sóng mang?","Căn cứ vào thời gian trễ nhận được thông báo phản hồi ACK từ máy thu để tự động thay đổi thuật toán lượng tử hóa tín hiệu âm thanh thô.","Biểu diễn bằng các góc lệch pha khác nhau của sóng mang (ví dụ pha 0 độ cho bit 0 và pha 180 độ cho bit 1) với biên độ và tần số cố định.","Mức điện áp dương trên cáp đồng thể hiện bit 1 và mức điện áp âm thể hiện bit 0, tương tự như các phương pháp mã hóa dải nền NRZ.","Biểu diễn bằng cách thay đổi độ sáng của tín hiệu la-ze phản xạ tuần hoàn trong lõi cáp quang học tùy theo mật độ bit truyền đi trên kênh.","B"
"Phương thức điều chế QAM (Quadrature Amplitude Modulation) là sự kết hợp tối ưu của hai kỹ thuật nào nhằm truyền nhiều bit hơn trên mỗi baud?","Sự kết hợp kỹ thuật lấy mẫu lượng tử chuẩn PCM với công nghệ truyền dẫn đa hợp quang học để tăng tốc độ bit lên tối đa.","Sự kết hợp khả năng chống nhiễu của mã B8ZS với tính linh hoạt của thuật toán chẩn đoán lỗi vòng CRC thuộc mô hình mạng OSI.","Sự kết hợp giữa kỹ thuật điều chế biên độ (ASK) và điều chế pha (PSK), giúp tạo ra nhiều trạng thái phân biệt trên giản đồ phức.","Sự kết hợp giữa công nghệ mã hóa băng tần cơ sở Manchester và phương thức điều chế tần số (FSK) cho đường dây thuê riêng.","C"
